DATA,"ALT_CARREC","CARREC","TEMA","GRUP_INTERES","ESTAT_REGISTRE","NUMERO_REGISTRE","LLOC","TIPUS_ACTIVITAT","ACTIVITAT",PARTICIPANTS,HORES_ALT_CARREC,"CODI_ENS","NOM_ENS"
"2021/05/08","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte canvi nomenclàtor de Plaça Nova a Plaça Neus Català (signatura llibre honor municipi dels Guiaments)",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","4","1.00","818460009","Ajuntament de Rubí"
"2021/05/08","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte canvi nomenclàtor de Plaça Nova a Plaça Neus Català amb visita dels representants del municipi dels Guiamets",,,,"EL CELLER","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2021/05/10","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Reunió amb direcció INCASOL",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","4","1.00","818460009","Ajuntament de Rubí"
"2021/05/12","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita Escola de Música",,,,"C.C. ESCARDIVOL/ ESCOLA D'ADULTS","Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/06/02","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita Escola Maristes",,,,"ESCOLA MARISTES","Activitat institucional","Reunió","2","1.00","818460009","Ajuntament de Rubí"
"2021/06/08","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte institucional valoració de 2 anys de mandat",,,,"EL CELLER","Activitat institucional","Acte","14","2.00","818460009","Ajuntament de Rubí"
"2021/06/12","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Ple Estat de la Ciutat",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","25","4.00","818460009","Ajuntament de Rubí"
"2021/06/18","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2021/06/22","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentació institucional Pla d'Igualtat",,,,"MUSEU MUNICIPAL CASTELL","Activitat institucional","Acte","13","2.00","818460009","Ajuntament de Rubí"
"2021/06/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Festa Major -  Pregó de Festa Major",,,,"PLAÇA PERE AGUILERA","Activitat institucional","Acte","13","1.50","818460009","Ajuntament de Rubí"
"2021/06/29","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Festa Major - Reconeixement a les entitats que fan 25 anys o més",,,,"MUSEU MUNICIPAL CASTELL","Activitat institucional","Acte","13","1.50","818460009","Ajuntament de Rubí"
"2021/07/02","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita Conseller d'educació - Hble. Sr.   Josep Gonzàlez-Cambray",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","4","1.50","818460009","Ajuntament de Rubí"
"2021/07/12","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Reconeixement als/les estudiants de l'escola d'art edRa seleccionades pel disseny corporatiu institucional de les Nadales 2019 i 2020",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","3","1.00","818460009","Ajuntament de Rubí"
"2021/07/15","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentació Guia local per fer front al maltractament a les persones grans",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","13","1.50","818460009","Ajuntament de Rubí"
"2021/08/30","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentació llibre Casal Popular",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Grup d'interès","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/09/07","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte oficial d'inici del curs escolar",,,,,"Activitat institucional","Acte","2","1.00","818460009","Ajuntament de Rubí"
"2021/09/11","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte de la diada",,,,"PLAÇA ONZE DE SETEMBRE","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2021/09/13","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Sopar tast final de la 9a edició dels Premis Vinari",,,,"EL CELLER","Activitat institucional","Acte","13","3.50","818460009","Ajuntament de Rubí"
"2021/09/22","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta ordinària de portaveus",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","8","1.50","818460009","Ajuntament de Rubí"
"2021/09/22","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Lliurament del 21è Premi de recerca Miquel Segura i reconeixement proves PAU",,,,"MUSEU MUNICIPAL CASTELL","Activitat institucional","Acte","3","1.50","818460009","Ajuntament de Rubí"
"2021/09/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte rierada",,,,"PLACETA 25 DE SETEMBRE","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2021/10/22","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta Local de Seguretat Extraordinària",,,,"MASÍA DE CAN SERRA","Activitat institucional","Reunió","11","2.00","818460009","Ajuntament de Rubí"
"2021/10/24","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte de reconeixement a les víctimes COVID",,,,"EXTERIOR MUSEU MUNICIPAL CASTELL [C-07]","Activitat institucional","Acte","13","1.50","818460009","Ajuntament de Rubí"
"2021/11/05","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Fira del vi de Rubí - Acte d'inauguració",,,,"EL CELLER","Activitat institucional","Acte","13","1.50","818460009","Ajuntament de Rubí"
"2021/11/09","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","26e edició Nit de l'Empresari",,,,"*Terrassa","Activitat institucional","Acte","3","2.00","818460009","Ajuntament de Rubí"
"2021/11/16","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Jornada presentació Protocol de prevenció de la Mutilació Genital Femenina",,,,"MUSEU MUNICIPAL CASTELL","Activitat institucional","Acte","13","2.00","818460009","Ajuntament de Rubí"
"2021/11/24","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Nit de l'Esport",,,,"TEATRE LA SALA","Activitat institucional","Acte","13","3.00","818460009","Ajuntament de Rubí"
"2021/11/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Lectura manifest 25N",,,,"PLAÇA PERE AGUILERA","Activitat institucional","Acte","13","1.50","818460009","Ajuntament de Rubí"
"2021/11/26","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Encesa llums nadal",,,,"PLAÇA PERE AGUILERA","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2021/12/02","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Benvinguda acte Treball Talent i Tecnologia",,,,"MASÍA DE CAN SERRA","Activitat institucional","Acte","3","1.00","818460009","Ajuntament de Rubí"
"2021/12/15","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Entrega dels certificats curs horticultura i jardineria a joves nousvinguts",,,,"HORTS DE COVA SOLERA","Activitat institucional","Acte","5","0.75","818460009","Ajuntament de Rubí"
"2021/12/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Reconeixement als treballadors que porten 25 anys treballats",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","13","1.50","818460009","Ajuntament de Rubí"
"2021/12/30","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Recepció institucional Hble. Sr. Joan Ignasi Elena i Garcia, conseller d'interior",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","7","1.00","818460009","Ajuntament de Rubí"
"2022/01/03","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta extraordinària de portaveus",,,,,"Activitat institucional","Reunió","8","1.50","818460009","Ajuntament de Rubí"
"2022/01/13","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Comiat cap ABP Rubí (Sr. Carles Otamendi)",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","5","1.00","818460009","Ajuntament de Rubí"
"2022/01/14","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/01/27","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Signatura conveni col.laboració amb Amical de Mauthausen",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","4","1.00","818460009","Ajuntament de Rubí"
"2022/01/28","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/01/28","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Benvinguda al nou cap de mossos d'esquadra de Rubí",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","5","1.00","818460009","Ajuntament de Rubí"
"2022/02/04","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/02/05","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Col.locació Monòlit Plaça de Neus Català i Pallejà",,,,"PLAÇA NEUS CATALÀ","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/02/11","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/02/16","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta de portaveus",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","8","2.00","818460009","Ajuntament de Rubí"
"2022/02/18","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/02/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","35 edició del concurs de màscares de Carnaval (Escola edRa)",,,,"C.C. ESCARDÍVOL","Activitat institucional","Acte","5","1.00","818460009","Ajuntament de Rubí"
"2022/03/04","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/03/05","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Ofrena floral a Blas Infante",,,,"PLAÇA ANDALUSIA","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/03/06","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Lectura del manifest Dia de les Dones",,,,"EL CELLER","Activitat institucional","Acte","13","0.50","818460009","Ajuntament de Rubí"
"2022/03/07","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Inauguració Jornades Feministes",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","13","2.00","818460009","Ajuntament de Rubí"
"2022/03/11","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/03/23","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta de portaveus",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","8","2.00","818460009","Ajuntament de Rubí"
"2022/03/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/03/29","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Plenari de La Cambra de Terrassa",,,,"MUSEU MUNICIPAL CASTELL","Activitat institucional","Reunió","5","2.50","818460009","Ajuntament de Rubí"
