"ID","DATA_ACCIDENT",ANY_ACCIDENT,MES_ACCIDENT,"DIA_SETMANA_ACCIDENT","HORA_ACCIDENT","TIPUS_ACCIDENT",N_IMPLICATS,"ZONA","CODI_ENS","NOM_ENS","TRAM_HORARI",LATITUD,LONGITUD,"PUNT_ACCIDENT"
"1/2016","2016-01-02","2016","1","Dissabte","13:20:00","Xoc sense sortida de via","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"2/2016","2016-01-02","2016","1","Dissabte","18:00:00","Encalç","2","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"3/2016","2016-01-04","2016","1","Dilluns","14:35:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"4/2016","2016-01-04","2016","1","Dilluns","16:30:00","Altres (incendi, explosió, esllavissada, etc.)","2","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"5/2016","2016-01-04","2016","1","Dilluns","19:25:00","Atropellament","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"6/2016","2016-01-05","2016","1","Dimarts","12:45:00","Sortida de via amb caiguda, bolcada, xoc","1","Can Ximelis - D4","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"6/2016","2016-01-05","2016","1","Dimarts","12:45:00","Sortida de via amb caiguda, bolcada, xoc","1","Castellnou - Can Mir","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"7/2016","2016-01-07","2016","1","Dijous","20:20:00","Múltiple","6","Plana de Can Bertran","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"8/2016","2016-01-11","2016","1","Dilluns","16:30:00","Col·lisió frontal","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"9/2016","2016-01-12","2016","1","Dimarts","06:05:00","Envestida","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"10/2016","2016-01-12","2016","1","Dimarts","09:30:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"11/2016","2016-01-12","2016","1","Dimarts","12:15:00","Envestida","2","Sector Z","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"12/2016","2016-01-12","2016","1","Dimarts","15:30:00","Envestida","2","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"13/2016","2016-01-12","2016","1","Dimarts","17:30:00","Xoc sense sortida de via","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"14/2016","2016-01-12","2016","1","Dimarts","18:15:00","Encalç","2","El Mercat","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"15/2016","2016-01-13","2016","1","Dimecres","11:50:00","Xoc sense sortida de via","1","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"17/2016","2016-01-14","2016","1","Dijous","08:15:00","Envestida","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"16/2016","2016-01-14","2016","1","Dijous","09:00:00","Xoc sense sortida de via","1","Zona Nord","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"18/2016","2016-01-17","2016","1","Diumenge","17:10:00","Col·lisió frontal","2","Can Fatjó","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"19/2016","2016-01-18","2016","1","Dilluns","08:50:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"20/2016","2016-01-18","2016","1","Dilluns","20:20:00","Fregament negatiu (mateix sentit)","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"21/2016","2016-01-23","2016","1","Dissabte","19:10:00","Fregament negatiu (mateix sentit)","2","Can Rosés","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"22/2016","2016-01-24","2016","1","Diumenge","11:50:00","Xoc sense sortida de via","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"23/2016","2016-01-24","2016","1","Diumenge","19:55:00","Xoc sense sortida de via","1","Sant Muç","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"24/2016","2016-01-26","2016","1","Dimarts","07:30:00","Fregament positiu (diferent sentit)","2","Can Solà","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"25/2016","2016-01-26","2016","1","Dimarts","14:00:00","Envestida","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"26/2016","2016-01-27","2016","1","Dimecres","13:10:00","Envestida","2","Can Fatjó","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"27/2016","2016-01-28","2016","1","Dijous","05:15:00","Sortida de via amb caiguda, bolcada, xoc","0","Zona Desconeguda","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"33/2016","2016-01-28","2016","1","Dijous","10:10:00","Simple","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"28/2016","2016-01-28","2016","1","Dijous","12:45:00","Envestida","2","Sant Muç","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"29/2016","2016-01-28","2016","1","Dijous","12:45:00","Xoc sense sortida de via","2","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"30/2016","2016-01-29","2016","1","Divendres","01:10:00","Sortida de via amb caiguda, bolcada, xoc","1","Sant Muç","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"31/2016","2016-01-29","2016","1","Divendres","09:15:00","Atropellament","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"32/2016","2016-01-29","2016","1","Divendres","18:10:00","Atropellament","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"40/2016","2016-01-29","2016","1","Divendres","20:30:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"34/2016","2016-01-29","2016","1","Divendres","23:30:00","Col·lisió frontal","2","Zona Nord","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"35/2016","2016-01-30","2016","1","Dissabte","15:50:00","Envestida","2","Plana de Can Bertran","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"36/2016","2016-01-30","2016","1","Dissabte","18:15:00","Col·lisió frontal","2","Castellnou - Can Mir","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"37/2016","2016-01-31","2016","1","Diumenge","16:00:00","Xoc sense sortida de via","1","Sant Muç","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"39/2016","2016-02-01","2016","2","Dilluns","07:50:00","Sortida de via amb caiguda, bolcada, xoc","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"38/2016","2016-02-01","2016","2","Dilluns","11:10:00","Envestida","2","Els Avets","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"42/2016","2016-02-01","2016","2","Dilluns","16:30:00","Col·lisió frontal","1","Can Fatjó","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"41/2016","2016-02-01","2016","2","Dilluns","19:30:00","Fregament negatiu (mateix sentit)","2","Ca n'Alzamora","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"44/2016","2016-02-02","2016","2","Dimarts","18:15:00","Sortida de via amb caiguda, bolcada, xoc","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"44/2016","2016-02-02","2016","2","Dimarts","18:15:00","Sortida de via amb caiguda, bolcada, xoc","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
