"ID","DATA_ACCIDENT",ANY_ACCIDENT,MES_ACCIDENT,"DIA_SETMANA_ACCIDENT","HORA_ACCIDENT","TIPUS_ACCIDENT",N_IMPLICATS,"ZONA","CODI_ENS","NOM_ENS","TRAM_HORARI",LATITUD,LONGITUD,"PUNT_ACCIDENT"
"1/2019","2019-01-03","2019","1","Dijous","22:00:00","Xoc sense sortida de via","1","Sant Muç","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"2/2019","2019-01-04","2019","1","Divendres","13:11:00","Fregament negatiu (mateix sentit)","2","Ca n'Alzamora","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"2/2019","2019-01-04","2019","1","Divendres","13:11:00","Fregament negatiu (mateix sentit)","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"3/2019","2019-01-04","2019","1","Divendres","23:50:00","Xoc sense sortida de via","2","Plana de Can Bertran","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"4/2019","2019-01-05","2019","1","Dissabte","05:20:00","Envestida","2","Sant Jordi Parc","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"5/2019","2019-01-05","2019","1","Dissabte","09:35:00","Envestida","2","Zona Nord","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"5/2019","2019-01-05","2019","1","Dissabte","09:35:00","Envestida","2","Zona Nord - La Serreta","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"6/2019","2019-01-05","2019","1","Dissabte","18:45:00","Col·lisió frontal","2","Sector Z","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"7/2019","2019-01-06","2019","1","Diumenge","18:00:00","Envestida","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"8/2019","2019-01-07","2019","1","Dilluns","07:00:00","Fregament negatiu (mateix sentit)","2","Can Vallhonrat","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"9/2019","2019-01-07","2019","1","Dilluns","13:00:00","Xoc sense sortida de via","2","Zona Nord","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"9/2019","2019-01-07","2019","1","Dilluns","13:00:00","Xoc sense sortida de via","2","Zona Nord - La Serreta","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"10/2019","2019-01-07","2019","1","Dilluns","18:00:00","Xoc sense sortida de via","3","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"11/2019","2019-01-08","2019","1","Dimarts","16:50:00","Xoc sense sortida de via","3","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"11/2019","2019-01-08","2019","1","Dimarts","16:50:00","Xoc sense sortida de via","3","Zona Nord - La Serreta","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"14/2019","2019-01-09","2019","1","Dimecres","10:50:00","Encalç","3","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"12/2019","2019-01-09","2019","1","Dimecres","11:20:00","Encalç","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"13/2019","2019-01-09","2019","1","Dimecres","13:10:00","Col·lisió frontal","1","Sant Muç","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"15/2019","2019-01-10","2019","1","Dijous","10:00:00","Encalç","2","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"16/2019","2019-01-10","2019","1","Dijous","17:30:00","Fregament negatiu (mateix sentit)","2","Can Rosés","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"16/2019","2019-01-10","2019","1","Dijous","17:30:00","Fregament negatiu (mateix sentit)","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"17/2019","2019-01-11","2019","1","Divendres","10:45:00","Envestida","2","Les Torres","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"18/2019","2019-01-11","2019","1","Divendres","17:03:00","Fregament negatiu (mateix sentit)","2","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"18/2019","2019-01-11","2019","1","Divendres","17:03:00","Fregament negatiu (mateix sentit)","2","Zona Nord - La Serreta","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"19/2019","2019-01-11","2019","1","Divendres","17:30:00","Xoc sense sortida de via","2","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"19/2019","2019-01-11","2019","1","Divendres","17:30:00","Xoc sense sortida de via","2","Zona Nord - La Serreta","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"20/2019","2019-01-13","2019","1","Diumenge","10:30:00","Fregament negatiu (mateix sentit)","2","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"21/2019","2019-01-13","2019","1","Diumenge","20:45:00","Xoc sense sortida de via","3","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"22/2019","2019-01-14","2019","1","Dilluns","07:40:00","Fregament positiu (diferent sentit)","3","Can Serrafossà - La Perla","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"24/2019","2019-01-14","2019","1","Dilluns","18:30:00","Encalç","2","Can Fatjó","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"23/2019","2019-01-15","2019","1","Dimarts","14:05:00","Xoc sense sortida de via","1","Sant Muç","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"26/2019","2019-01-16","2019","1","Dimecres","15:30:00","Xoc sense sortida de via","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"25/2019","2019-01-16","2019","1","Dimecres","18:15:00","Atropellament","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"27/2019","2019-01-17","2019","1","Dijous","21:30:00","Xoc sense sortida de via","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"28/2019","2019-01-18","2019","1","Divendres","10:05:00","Envestida","3","Can Vallhonrat","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"28/2019","2019-01-18","2019","1","Divendres","10:05:00","Envestida","3","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"29/2019","2019-01-18","2019","1","Divendres","20:42:00","Encalç","2","Can Fatjó","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"30/2019","2019-01-19","2019","1","Dissabte","14:50:00","Múltiple","6","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"31/2019","2019-01-20","2019","1","Diumenge","04:00:00","Xoc sense sortida de via","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"32/2019","2019-01-20","2019","1","Diumenge","07:00:00","Xoc sense sortida de via","1","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"33/2019","2019-01-20","2019","1","Diumenge","08:45:00","Xoc sense sortida de via","1","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"34/2019","2019-01-20","2019","1","Diumenge","14:02:00","Encalç","2","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"34/2019","2019-01-20","2019","1","Diumenge","14:02:00","Encalç","2","Zona Nord - La Serreta","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"35/2019","2019-01-23","2019","1","Dimecres","07:35:00","Atropellament","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"36/2019","2019-01-23","2019","1","Dimecres","16:15:00","Xoc sense sortida de via","1","Sant Muç","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"37/2019","2019-01-24","2019","1","Dijous","07:40:00","Fregament negatiu (mateix sentit)","2","Les Torres","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"38/2019","2019-01-24","2019","1","Dijous","12:00:00","Atropellament","2","Plana de Can Bertran","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"39/2019","2019-01-26","2019","1","Dissabte","11:20:00","Sortida de via amb caiguda, bolcada, xoc","2","Can Solà","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"40/2019","2019-01-27","2019","1","Diumenge","19:20:00","Altres (incendi, explosió, esllavissada, etc.)","1","Sant Muç","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"41/2019","2019-01-30","2019","1","Dimecres","07:10:00","Envestida","2","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"42/2019","2019-01-31","2019","1","Dijous","16:00:00","Atropellament","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"43/2019","2019-01-31","2019","1","Dijous","20:40:00","Col·lisió frontal","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"44/2019","2019-01-31","2019","1","Dijous","20:48:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"45/2019","2019-02-01","2019","2","Divendres","10:20:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"46/2019","2019-02-01","2019","2","Divendres","18:30:00","Encalç","2","Sector Z","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"47/2019","2019-02-01","2019","2","Divendres","19:15:00","Encalç","2","Can Fatjó","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"48/2019","2019-02-02","2019","2","Dissabte","09:25:00","Encalç","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"49/2019","2019-02-02","2019","2","Dissabte","13:00:00","Envestida","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"49/2019","2019-02-02","2019","2","Dissabte","13:00:00","Envestida","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
