ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2016","1","2016-Q1","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","322847.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 01","Secció 1","Districte 01 / Secció 1","15032.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 01","Secció 2","Districte 01 / Secció 2","18305.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 01","Secció 3","Districte 01 / Secció 3","37967.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 02","Secció 1","Districte 02 / Secció 1","17660.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 02","Secció 3","Districte 02 / Secció 3","20344.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 03","Secció 1","Districte 03 / Secció 1","10697.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 03","Secció 3","Districte 03 / Secció 3","18484.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 03","Secció 4","Districte 03 / Secció 4","14966.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 03","Secció 5","Districte 03 / Secció 5","18137.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 03","Secció 6","Districte 03 / Secció 6","17854.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 03","Secció 7","Districte 03 / Secció 7","18167.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 03","Secció 8","Districte 03 / Secció 8","10500.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 04","Secció 1","Districte 04 / Secció 1","16265.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 04","Secció 2","Districte 04 / Secció 2","16638.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 04","Secció 3","Districte 04 / Secció 3","14381.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 04","Secció 4","Districte 04 / Secció 4","21695.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 04","Secció 5","Districte 04 / Secció 5","18206.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 04","Secció 6","Districte 04 / Secció 6","14829.00","818460009","Ajuntament de Rubí"
"2016","1","2016-Q1","Districte 04","Secció 7","Districte 04 / Secció 7","15084.00","818460009","Ajuntament de Rubí"
