ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2012","2012/10/05","G59719278","APA CP JOAN MARAGALL DE RUBI LAS CABAÑAS","BONIFICACIONS PER GERMANS MATRICULATS, FAMILIES NOMBROSES I MONOPARENTALS","Educació","CONCESSIÓ VALIDADA O APROVADA","300.00","300.00","818460009","Ajuntament de Rubí"
"2012","2012/06/14","G59881409","AA VV ZONA NORD","PROJECTES D'ACTIVITAT DE LES ASSOCIACIONS DE VEÏNS","Infrastructures","CONCESSIÓ VALIDADA O APROVADA","1700.00","600.00","818460009","Ajuntament de Rubí"
"2012","2012/03/27","G59183806","UNIO ESPORTIVA DE RUBI","SUBVENCIÓ PER FOMENT DEL FUTBOL ANY 2012","Esports","JUSTIFICADA PARCIALMENTE","36000.00","36000.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G63501670","ASSOC CASAL POPULAR DE RUBI","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","3725.00","900.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q5855637D","ESCOLA 25 DE SETEMBRE","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","2700.00","1353.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G59183806","UNIO ESPORTIVA DE RUBI","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","176.40","176.40","818460009","Ajuntament de Rubí"
"2012","2012/07/25","G08983199","ESCOLTES CATALANS","PROJECTES D'ACTIVITAT DE LES ENTITATS D'EDUCACIÓ EN EL TEMPS DE LLEURE","Educació","CONCESSIÓ VALIDADA O APROVADA","1800.00","1800.00","818460009","Ajuntament de Rubí"
"2012","2012/12/03","G61323721","ASOC DE VECINOS ZONA MERCAT","SEGONA CONVOCATÒRIA SUBVENCIONS A ASSOCIACIONS DE VEÏNS PER A ACTIVITATS","Infrastructures","PAGADA","3395.00","1150.00","818460009","Ajuntament de Rubí"
"2012","2012/05/22","G60571668","UNIO ATLETICA RUBI","DINAMITZACIÓ DE L'ATLETISME A RUBÍ","Esports","JUSTIFICADA PARCIALMENTE","7200.00","7200.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G08886384","APA COL·LEGI PUBLIC MARIA MONTESSORI DE RUBI","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","261.66","261.66","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q5855636F","ESCOLA TERESA ALTET","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","1400.00","1127.00","818460009","Ajuntament de Rubí"
