"REGISTRE","ESTAT","DATA_REGISTRE","DATA_BAIXA","TIPUS_IDENTIFICACIO","ESPECIE","SEXE","MIDA",DATA_NAIXEMENT,"RACA","PERILLOS","GOS_ASSITENCIA","CODI_ENS","NOM_ENS"
"R000315438","Vigent","2014-02-07",,"XIP","Gos","Mascle","Mitjà","2009/04/01 00:00:00.000000000","gos d'aigua espanyol","No","No","818460009","Ajuntament de Rubí"
"R000315495","Vigent","2014-02-07",,"XIP","Gos","Femella","Petit","2005/05/09 00:00:00.000000000","Jack Russell terrier","No","No","818460009","Ajuntament de Rubí"
"R000315488","Vigent","2014-02-07",,"XIP","Gos","Mascle","Petit","2007/03/17 00:00:00.000000000","Jack Russell terrier","No","No","818460009","Ajuntament de Rubí"
"R000315482","Vigent","2014-02-07",,"XIP","Gos","Femella","Petit","2007/03/17 00:00:00.000000000","Jack Russell terrier","No","No","818460009","Ajuntament de Rubí"
"R000315458","Vigent","2014-02-07",,"XIP","Gos","Femella","Mitjà","2010/02/19 00:00:00.000000000","spaniel breton","No","No","818460009","Ajuntament de Rubí"
"R000315441","Vigent","2014-02-07",,"XIP","Gos","Femella","Petit","2013/05/08 00:00:00.000000000","gos d'aigua espanyol","No","No","818460009","Ajuntament de Rubí"
"R000315262","Vigent","2014-02-06",,"XIP","Gos","Femella","Petit","2011/01/15 00:00:00.000000000","chihuahua","No","No","818460009","Ajuntament de Rubí"
"R000315250","Vigent","2014-02-06",,"XIP","Gos","Mascle","Mitjà","2010/06/15 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000315261","Vigent","2014-02-06",,"XIP","Gos","Mascle","Mitjà","2011/05/01 00:00:00.000000000","bulldog americà","No","No","818460009","Ajuntament de Rubí"
"R000315325","Vigent","2014-02-07",,"XIP","Gos","Mascle","Mitjà","2012/06/15 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000315257","Vigent","2014-02-06",,"XIP","Gos","Mascle","Petit","2008/05/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000315246","Vigent","2014-02-06",,"XIP","Gos","Mascle","Petit","2009/07/22 00:00:00.000000000","terrier de yorkshire","No","No","818460009","Ajuntament de Rubí"
"R000315681","Vigent","2014-02-10",,"XIP","Gos","Femella","Gran","2012/07/06 00:00:00.000000000","golden retriever","No","No","818460009","Ajuntament de Rubí"
"R000315235","Vigent","2014-02-06",,"XIP","Gos","Femella","Mitjà","2007/05/23 00:00:00.000000000","setter anglès","No","No","818460009","Ajuntament de Rubí"
"R000315232","Vigent","2014-02-06",,"XIP","Gos","Mascle","Mitjà","2010/07/16 00:00:00.000000000","setter anglès","No","No","818460009","Ajuntament de Rubí"
"R000315215","Vigent","2014-02-06",,"XIP","Gos","Femella","Petit","2013/05/08 00:00:00.000000000","terrier blanc de West Highland","No","No","818460009","Ajuntament de Rubí"
"R000314313","Vigent","2014-02-03",,"XIP","Gos","Mascle","Petit","2012/03/27 00:00:00.000000000","terrier de yorkshire","No","No","818460009","Ajuntament de Rubí"
"R000314283","Vigent","2014-02-03",,"XIP","Gos","Mascle","Mitjà","2009/08/10 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000314211","Vigent","2014-02-03",,"XIP","Gos","Mascle","Gran","2010/05/15 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000314200","Vigent","2014-02-03",,"XIP","Gos","Femella","Petit","2013/07/30 00:00:00.000000000","terrier de yorkshire","No","No","818460009","Ajuntament de Rubí"
"R000314190","Vigent","2014-02-03",,"XIP","Gos","Mascle","Mitjà","2011/09/21 00:00:00.000000000","golden retriever","No","No","818460009","Ajuntament de Rubí"
"R000314183","Vigent","2014-02-03",,"XIP","Gos","Femella","Mitjà","2010/06/07 00:00:00.000000000","pòinter","No","No","818460009","Ajuntament de Rubí"
"R000305919","Vigent","2013-12-17",,"XIP","Gos","Femella","Mitjà","2013/08/20 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000314181","Vigent","2014-02-03",,"XIP","Gos","Mascle","Gran","2013/03/22 00:00:00.000000000","ridgeback rhodesià","No","No","818460009","Ajuntament de Rubí"
"R000154844","Vigent","2013-08-01",,"XIP","Gos","Mascle","Gran","2008/10/25 00:00:00.000000000","pastor alemany","No","No","818460009","Ajuntament de Rubí"
"R000314172","Vigent","2014-02-03",,"XIP","Gos","Femella","Mitjà","2012/04/05 00:00:00.000000000","golden retriever","No","No","818460009","Ajuntament de Rubí"
"R000314171","Vigent","2014-02-03",,"XIP","Gos","Mascle","Gran","2013/02/16 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000314130","Vigent","2014-01-31",,"XIP","Gos","Femella","Mitjà","2008/01/22 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000314134","Vigent","2014-01-31",,"XIP","Gos","Mascle","Gran","2012/10/26 00:00:00.000000000","bòxer","No","No","818460009","Ajuntament de Rubí"
"R000320317","Vigent","2014-03-05",,"XIP","Gos","Mascle","Gran","2013/08/31 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000314010","Vigent","2014-01-31",,"XIP","Gos","Femella","Gran","2013/02/10 00:00:00.000000000","golden retriever","No","No","818460009","Ajuntament de Rubí"
"R000313980","Vigent","2014-01-31",,"XIP","Gos","Mascle","Mitjà","2006/04/29 00:00:00.000000000","pastor de Shetland","No","No","818460009","Ajuntament de Rubí"
"R000313993","Vigent","2014-01-31",,"XIP","Gos","Mascle","Mitjà","2011/02/14 00:00:00.000000000","border collie","No","No","818460009","Ajuntament de Rubí"
"R000314127","Vigent","2014-01-31",,"XIP","Gos","Mascle","Mitjà","2012/08/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000313959","Vigent","2014-01-31",,"XIP","Gos","Femella","Mitjà","2013/06/01 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000313920","Vigent","2014-01-31",,"XIP","Gos","Mascle","Petit","2012/11/26 00:00:00.000000000","terrier de yorkshire","No","No","818460009","Ajuntament de Rubí"
"R000313850","Vigent","2014-01-31",,"XIP","Gos","Femella","Mitjà","2009/06/28 00:00:00.000000000","bulldog francès","No","No","818460009","Ajuntament de Rubí"
"R000313775","Vigent","2014-01-31",,"XIP","Gos","Mascle","Mitjà","2011/04/08 00:00:00.000000000","border collie","No","No","818460009","Ajuntament de Rubí"
"R000313788","Vigent","2014-01-31",,"XIP","Gos","Mascle","Petit","2009/04/16 00:00:00.000000000","teckel de pèl dur","No","No","818460009","Ajuntament de Rubí"
"R000313765","Vigent","2014-01-31",,"XIP","Gos","Mascle","Petit","2008/10/01 00:00:00.000000000","terrier de yorkshire","No","No","818460009","Ajuntament de Rubí"
"R000313718","Vigent","2014-01-31",,"XIP","Gos","Mascle","Mitjà","2009/02/01 00:00:00.000000000","ratoner andalús/bodeguero anda","No","No","818460009","Ajuntament de Rubí"
"R000313521","Vigent",,,"XIP","Gos","Mascle","Gran","2013/07/16 00:00:00.000000000","husky siberià","No","No","818460009","Ajuntament de Rubí"
"R000313571","Vigent","2014-01-30",,"XIP","Gos","Femella","Mitjà","2011/11/15 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000313516","Vigent","2014-01-30",,"XIP","Gos","Femella","Gran","2013/02/17 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000313552","Vigent","2014-01-30",,"XIP","Gos","Mascle","Mitjà","2013/05/02 00:00:00.000000000","pastor de Shetland","No","No","818460009","Ajuntament de Rubí"
"R000313490","Vigent","2014-01-30",,"XIP","Gos","Mascle","Mitjà","2013/08/02 00:00:00.000000000","bichon maltès","No","No","818460009","Ajuntament de Rubí"
"R000313479","Vigent","2014-01-30",,"XIP","Gos","Femella","Gran","2001/12/18 00:00:00.000000000","golden retriever","No","No","818460009","Ajuntament de Rubí"
"R000313509","Vigent","2014-01-30",,"XIP","Gos","Mascle","Mitjà","2006/09/05 00:00:00.000000000","terrier de yorkshire","No","No","818460009","Ajuntament de Rubí"
"R000313368","Vigent","2014-01-30",,"XIP","Gos","Mascle","Gran","2013/02/04 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000313463","Vigent","2014-01-30",,"XIP","Gos","Mascle","Petit","2012/10/04 00:00:00.000000000","pinscher","No","No","818460009","Ajuntament de Rubí"
"R000113943","Vigent","2012-06-20",,"XIP","Gos","Femella","Mitjà","2004/11/11 00:00:00.000000000","bòxer atigrat","No","No","818460009","Ajuntament de Rubí"
"R000313367","Vigent","2014-01-30",,"XIP","Gos","Femella","Mitjà","2013/01/19 00:00:00.000000000","setter anglès","No","No","818460009","Ajuntament de Rubí"
"R000313336","Vigent","2014-01-29",,"XIP","Gos","Femella","Petit","2012/12/07 00:00:00.000000000","teckel de pèl dur","No","No","818460009","Ajuntament de Rubí"
"R000313332","Vigent","2014-01-29",,"XIP","Gos","Femella","Gran","2012/09/17 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000313341","Vigent","2014-01-29",,"XIP","Gos","Mascle","Gran","2009/10/26 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000313340","Vigent","2014-01-29",,"XIP","Gos","Mascle","Petit",,,"No","No","818460009","Ajuntament de Rubí"
"R000306065","Vigent","2013-12-17",,"XIP","Gos","Mascle","Gran","2010/09/18 00:00:00.000000000","llebrer afganès","No","No","818460009","Ajuntament de Rubí"
"R000306061","Vigent","2013-12-17",,"XIP","Gos","Mascle","Gran","2013/06/07 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000306058","Vigent","2013-12-17",,"XIP","Gos","Mascle","Gran","2006/07/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000306056","Vigent","2013-12-17",,"XIP","Gos","Femella","Petit","2011/12/05 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000306050","Vigent","2013-12-17",,"XIP","Gos","Femella","Mitjà","2011/03/02 00:00:00.000000000","terrier Staffordshire americà","Si","No","818460009","Ajuntament de Rubí"
"R000306040","Vigent","2013-12-17",,"XIP","Gos","Femella","Petit","2010/06/09 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000306043","Vigent","2013-12-17",,"XIP","Gos","Mascle","Petit","2006/02/07 00:00:00.000000000","bulldog francès","No","No","818460009","Ajuntament de Rubí"
"R000169326","Vigent","2013-10-24",,"XIP","Gos","Femella","Mitjà","2013/08/20 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000306046","Vigent","2013-12-17",,"XIP","Gos","Femella","Mitjà","2007/07/15 00:00:00.000000000","beagle","No","No","818460009","Ajuntament de Rubí"
