ANY,"DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_M3,CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2017","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","1044357.00","11487927.00","818460009","Ajuntament de Rubí"
"2017","Districte 01","Secció 1","Districte 01 / Secció 1","236769.00","2604459.00","818460009","Ajuntament de Rubí"
"2017","Districte 01","Secció 2","Districte 01 / Secció 2","205357.00","2258927.00","818460009","Ajuntament de Rubí"
"2017","Districte 01","Secció 3","Districte 01 / Secció 3","437126.00","4808386.00","818460009","Ajuntament de Rubí"
"2017","Districte 02","Secció 1","Districte 02 / Secció 1","183517.00","2018687.00","818460009","Ajuntament de Rubí"
"2017","Districte 02","Secció 3","Districte 02 / Secció 3","166339.00","1829729.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 1","Districte 03 / Secció 1","267308.00","2940388.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 3","Districte 03 / Secció 3","185096.00","2036056.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 4","Districte 03 / Secció 4","171529.00","1886819.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 5","Districte 03 / Secció 5","276230.00","3038530.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 6","Districte 03 / Secció 6","163586.00","1799446.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 7","Districte 03 / Secció 7","267899.00","2946889.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 8","Districte 03 / Secció 8","94951.00","1044461.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 1","Districte 04 / Secció 1","254171.00","2795881.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 2","Districte 04 / Secció 2","289842.00","3188262.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 3","Districte 04 / Secció 3","244909.00","2693999.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 4","Districte 04 / Secció 4","308818.00","3396998.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 5","Districte 04 / Secció 5","313232.00","3445552.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 6","Districte 04 / Secció 6","228077.00","2508847.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 7","Districte 04 / Secció 7","265518.00","2920698.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 8","Districte 04 / Secció 8","113995.00","1253945.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 9","Districte 04 / Secció 9","312155.00","3433705.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 10","Districte 04 / Secció 10","266718.00","2933898.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 11","Districte 04 / Secció 11","305808.00","3363888.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 12","Districte 04 / Secció 12","218223.00","2400453.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 13","Districte 04 / Secció 13","176912.00","1946032.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 14","Districte 04 / Secció 14","283837.00","3122207.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 15","Districte 04 / Secció 15","155451.00","1709961.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 16","Districte 04 / Secció 16","345411.00","3799521.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 18","Districte 04 / Secció 18","186412.00","2050532.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 19","Districte 04 / Secció 19","133640.00","1470040.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 20","Districte 04 / Secció 20","110030.00","1210330.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 21","Districte 04 / Secció 21","379818.00","4177998.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 22","Districte 04 / Secció 22","392431.00","4316741.00","818460009","Ajuntament de Rubí"
"2017","Districte 01","Secció 4","Districte 01 / Secció 4","184273.00","2027003.00","818460009","Ajuntament de Rubí"
"2017","Districte 02","Secció 4","Districte 02 / Secció 4","383791.00","4221701.00","818460009","Ajuntament de Rubí"
"2017","Districte 02","Secció 5","Districte 02 / Secció 5","112064.00","1232704.00","818460009","Ajuntament de Rubí"
"2017","Districte 02","Secció 6","Districte 02 / Secció 6","151282.00","1664102.00","818460009","Ajuntament de Rubí"
"2017","Districte 03","Secció 9","Districte 03 / Secció 9","429863.00","4728493.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 23","Districte 04 / Secció 23","136873.00","1505603.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 24","Districte 04 / Secció 24","203395.00","2237345.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 25","Districte 04 / Secció 25","91079.00","1001869.00","818460009","Ajuntament de Rubí"
"2017","Districte 04","Secció 26","Districte 04 / Secció 26","280601.00","3086611.00","818460009","Ajuntament de Rubí"
