ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2017","2","2017-Q2","Districte 01","Secció 2","Districte 01 / Secció 2","18376.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 01","Secció 3","Districte 01 / Secció 3","42004.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 02","Secció 1","Districte 02 / Secció 1","21038.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 02","Secció 3","Districte 02 / Secció 3","22232.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 1","Districte 03 / Secció 1","10835.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 3","Districte 03 / Secció 3","17932.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 4","Districte 03 / Secció 4","15172.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 5","Districte 03 / Secció 5","18377.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 6","Districte 03 / Secció 6","17113.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 7","Districte 03 / Secció 7","18794.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 8","Districte 03 / Secció 8","10100.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 1","Districte 04 / Secció 1","17076.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 2","Districte 04 / Secció 2","15344.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 3","Districte 04 / Secció 3","15337.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 4","Districte 04 / Secció 4","21624.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 5","Districte 04 / Secció 5","18126.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 6","Districte 04 / Secció 6","15365.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 7","Districte 04 / Secció 7","15471.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 8","Districte 04 / Secció 8","9576.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 9","Districte 04 / Secció 9","35911.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 10","Districte 04 / Secció 10","25308.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 11","Districte 04 / Secció 11","23128.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 12","Districte 04 / Secció 12","15209.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 13","Districte 04 / Secció 13","19213.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 14","Districte 04 / Secció 14","16422.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 15","Districte 04 / Secció 15","13106.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 16","Districte 04 / Secció 16","17666.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 18","Districte 04 / Secció 18","12767.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 19","Districte 04 / Secció 19","11910.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 20","Districte 04 / Secció 20","11507.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 21","Districte 04 / Secció 21","42272.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 22","Districte 04 / Secció 22","19207.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 01","Secció 4","Districte 01 / Secció 4","16959.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 02","Secció 4","Districte 02 / Secció 4","10290.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 02","Secció 5","Districte 02 / Secció 5","9951.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 02","Secció 6","Districte 02 / Secció 6","17055.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 03","Secció 9","Districte 03 / Secció 9","28617.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 23","Districte 04 / Secció 23","12658.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 24","Districte 04 / Secció 24","11049.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 25","Districte 04 / Secció 25","9282.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 04","Secció 26","Districte 04 / Secció 26","20966.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","432712.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 01","Secció 1","Districte 01 / Secció 1","19485.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 01","Secció 2","Districte 01 / Secció 2","18320.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 01","Secció 3","Districte 01 / Secció 3","41199.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 02","Secció 1","Districte 02 / Secció 1","24015.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 02","Secció 3","Districte 02 / Secció 3","32752.00","818460009","Ajuntament de Rubí"
