ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 02","Secció 6","Districte 02 / Secció 6","2590.60","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 9","Districte 03 / Secció 9","181649.74","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 23","Districte 04 / Secció 23","168791.54","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 24","Districte 04 / Secció 24","110310.26","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 25","Districte 04 / Secció 25","118635.25","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 26","Districte 04 / Secció 26","176108.28","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","12564811.35","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 01","Secció 1","Districte 01 / Secció 1","58787.91","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 01","Secció 2","Districte 01 / Secció 2","123921.48","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 01","Secció 3","Districte 01 / Secció 3","120197.82","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 02","Secció 1","Districte 02 / Secció 1","66849.42","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 02","Secció 3","Districte 02 / Secció 3",,"818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 1","Districte 03 / Secció 1","114497.36","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 3","Districte 03 / Secció 3","82411.66","818460009","Ajuntament de Rubí"
