ANY,"DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_M3,CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2020","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","760355.00","8363905.00","818460009","Ajuntament de Rubí"
"2020","Districte 01","Secció 1","Districte 01 / Secció 1","224299.00","2467289.00","818460009","Ajuntament de Rubí"
"2020","Districte 01","Secció 2","Districte 01 / Secció 2","193531.00","2128841.00","818460009","Ajuntament de Rubí"
"2020","Districte 01","Secció 3","Districte 01 / Secció 3","392008.00","4312088.00","818460009","Ajuntament de Rubí"
"2020","Districte 02","Secció 1","Districte 02 / Secció 1","175535.00","1930885.00","818460009","Ajuntament de Rubí"
"2020","Districte 02","Secció 3","Districte 02 / Secció 3","180643.00","1987073.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 1","Districte 03 / Secció 1","231949.00","2551439.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 3","Districte 03 / Secció 3","187136.00","2058496.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 4","Districte 03 / Secció 4","162845.00","1791295.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 5","Districte 03 / Secció 5","204642.00","2251062.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 6","Districte 03 / Secció 6","123933.00","1363263.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 7","Districte 03 / Secció 7","187173.00","2058903.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 8","Districte 03 / Secció 8","68972.00","758692.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 1","Districte 04 / Secció 1","238446.00","2622906.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 2","Districte 04 / Secció 2","252866.00","2781526.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 3","Districte 04 / Secció 3","237224.00","2609464.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 4","Districte 04 / Secció 4","284035.00","3124385.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 5","Districte 04 / Secció 5","269684.00","2966524.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 6","Districte 04 / Secció 6","224278.00","2467058.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 7","Districte 04 / Secció 7","262369.00","2886059.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 8","Districte 04 / Secció 8","113836.00","1252196.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 9","Districte 04 / Secció 9","305002.00","3355022.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 10","Districte 04 / Secció 10","266669.00","2933359.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 11","Districte 04 / Secció 11","215083.00","2365913.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 12","Districte 04 / Secció 12","147542.00","1622962.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 13","Districte 04 / Secció 13","173448.00","1907928.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 14","Districte 04 / Secció 14","271356.00","2984916.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 15","Districte 04 / Secció 15","109233.00","1201563.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 16","Districte 04 / Secció 16","230901.00","2539911.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 18","Districte 04 / Secció 18","152708.00","1679788.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 19","Districte 04 / Secció 19","133710.00","1470810.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 20","Districte 04 / Secció 20","77458.00","852038.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 21","Districte 04 / Secció 21","249690.00","2746590.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 22","Districte 04 / Secció 22","278708.00","3065788.00","818460009","Ajuntament de Rubí"
"2020","Districte 01","Secció 4","Districte 01 / Secció 4","184747.00","2032217.00","818460009","Ajuntament de Rubí"
"2020","Districte 02","Secció 4","Districte 02 / Secció 4","368054.00","4048594.00","818460009","Ajuntament de Rubí"
"2020","Districte 02","Secció 5","Districte 02 / Secció 5","121704.00","1338744.00","818460009","Ajuntament de Rubí"
"2020","Districte 02","Secció 6","Districte 02 / Secció 6","166990.00","1836890.00","818460009","Ajuntament de Rubí"
"2020","Districte 03","Secció 9","Districte 03 / Secció 9","395395.00","4349345.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 23","Districte 04 / Secció 23","142531.00","1567841.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 24","Districte 04 / Secció 24","188158.00","2069738.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 25","Districte 04 / Secció 25","87838.00","966218.00","818460009","Ajuntament de Rubí"
"2020","Districte 04","Secció 26","Districte 04 / Secció 26","179296.00","1972256.00","818460009","Ajuntament de Rubí"
