"CODI_LLOC_DE_TREBALL","LLOC_DE_TREBALL","UNITAT_ORGANICA","GRUP","NIVELL_DE_DESTI",PUNTUACIO_COMPLEMENT_ESPECIFIC,"ESCALA","SUBESCALA","CLASSE","CATEGORIA","TIPUS_DE_JORNADA","FORMA_DE_PROVISIO","SITUACIO_DEL_LLOC","CODI_ENS","NOM_ENS"
"1137","TÈCNIC/CA D'ORGANITZACIÓ","ORGANIZACIÓ, PLANIFICACIO I QUALITAT","A1/A2","22/22","40","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1809","T.A.G.","SECRETARIA GENERAL","A1","22","41","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1691","TAG","SERVEI D'HABITATGE","A1","22","35","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1431","CAP DE SERVEI DE CONTRACTACIÓ I COMPRES","SERVEI DE CONTRACTACIÓ I COMPRES","A1/A1","26/27","815","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Lliure designació","Ocupat","818460009","Ajuntament de Rubí"
"1613","T.A.G.","SERVEI DE CONTRACTACIÓ I COMPRES","A1","22","35","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1775","TÈCNIC/A CONTRACTACIÓ","SERVEI DE CONTRACTACIÓ I COMPRES","A1/A1","22/25","505","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1852","TÈCNIC/A CONTRACTACIÓ","SERVEI DE CONTRACTACIÓ I COMPRES","A1/A1","22/25","505","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1853","TÈCNIC/A DE CONTRACTACIÓ","SERVEI DE CONTRACTACIÓ I COMPRES","A1/A1","22/25","505","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"971","CAP DEL SERVEI CONTROL I FISCALITZACIÓ","SERVEI DE CONTROL I FISCALITZACIÓ","A1","26","54","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Prolongació Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1122","ASSESSOR/A JURÍDIC/A","SERVEIS JURIDICS","A1/A1","22/25","575","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1336","ASSESSOR/A JURÍDIC/A","SERVEIS JURIDICS","A1/A1","22/25","575","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"666","CAP DE SERVEIS JURÍDICS","SERVEIS JURIDICS","A1","28","54","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs per mobilitat interadministrativa","Ocupat","818460009","Ajuntament de Rubí"
"663","T.A.G.","SERVEIS JURIDICS","A1/A1","22/25","575","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1120","T.A.G.","SERVEIS JURIDICS","A1","22","35","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1128","T.A.G.","SERVEIS JURIDICS","A1","22","41","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1525","T.A.G.","SERVEIS JURIDICS","A1","22","41","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1810","T.A.G.","SERVEIS JURIDICS","A1","22","41","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1939","T.A.G.","SERVEIS JURIDICS","A1","22","41","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1835","TÈCNIC/A SUPERIOR","TRESORERIA","A1","26","54","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1139","TÈCNIC/A ANALISTA DE DADES","UNITAT RUBÍ BRILLA","A1/A1","20/25","475","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1789","COORDINADOR/A DE L'ÀMBIT D'ALCALDIA","ÀMBIT D'ALCALDIA","A1","28","54","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Lliure designació","Ocupat","818460009","Ajuntament de Rubí"
"1749","COORDINADOR/A DE L'ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","A1","28","54","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Lliure designació","Vacant","818460009","Ajuntament de Rubí"
"1786","TÈCNIC/A DE RECURSOS HUMANS","ÀREA DE PERSONAL","A1/A2","22/22","40","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA",,"Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1860","TÈCNIC/A PATRIMONI","UNITAT DE PATRIMONI MUNICIPAL","A1","22","41","ESCALA D ADMINISTRACIO GENERAL","SUBESCALA TECNICA","Tècnic superior","Tècnic Superior","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"718","INTERVENTOR GENERAL","INTERVENCIÓ","A1","30","54","HABILITAT ESTATAL","SUBESCALA INTERVENCIO-TRESORERIA",,"Interventor","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"719","SECRETARI GENERAL","SECRETARIA GENERAL","A1","30","54","HABILITAT ESTATAL","SUBESCALA INTERVENCIO-TRESORERIA",,"Secretari","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"743","TRESORER","TRESORERIA","A1","30","54","HABILITAT ESTATAL","SUBESCALA INTERVENCIO-TRESORERIA",,"Tresorer","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1937","VICEINTERVENTOR/A GENERAL","INTERVENCIÓ","A1","30","54","HABILITAT ESTATAL","SUBESCALA INTERVENCIO-TRESORERIA","Classe segona","Categoria D'Entrada","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1348","VICESECRETARI GENERAL","SECRETARIA GENERAL","A1","30","54","HABILITAT ESTATAL","SUBESCALA SECRETARIA",,"Vicesecretari","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1762","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1763","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1764","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1766","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1767","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1759","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1760","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1830","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1765","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Vacant","818460009","Ajuntament de Rubí"
"1761","ASSESSOR/A","ORGANS DE GOVERN","C1","00",,"PERSONAL EVENTUAL",,,"Assessor","Jornada habitual","Nomenament","Vacant","818460009","Ajuntament de Rubí"
"1935","SÍNDIC/A DE GREUGES","SINDICATURA DE GREUGES","C1","00/00",,"PERSONAL EVENTUAL",,,"Síndic/A De Greuges","Jornada habitual","Nomenament","Ocupat","818460009","Ajuntament de Rubí"
"1705","ADMINISTRATIU","SERVEI D'OCUPACIÓ RUBÍ FORMA","C1","16","28","PERSONAL LABORAL",,,"Administratiu","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1706","ADMINISTRATIU","SERVEI DE CONTROL I FISCALITZACIÓ","C1","16","33","PERSONAL LABORAL",,,"Administratiu","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1713","RESPONSABLE OPERATIU FUER","SERVEIS A L'EMPRESA","C1","16","28","PERSONAL LABORAL",,,"Administratiu","Jornada Partida","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1707","ADMINISTRATIU","ÀREA D'ESTRATÈGIA URBANA, INNOVACIÓ I COMUNICACIÓ","C1","14","27","PERSONAL LABORAL",,,"Administratiu","Jornada Partida i Prolongació de Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"861","ADMINISTRATIU","ÀREA D'IGUALTAT I CIUTADANIA","C1","14","26","PERSONAL LABORAL",,,"Administratiu","Jornada Partida","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1916","AGENT PEL CIVISME","UNITAT D'ACCIÓ I MEDIACIÓ COMUNITÀRIA","AP/AP","11/14","160","PERSONAL LABORAL",,,"Agent Pel Civisme","Jornada partida i Festivitat","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1917","AGENT PEL CIVISME","UNITAT D'ACCIÓ I MEDIACIÓ COMUNITÀRIA","AP/AP","11/14","160","PERSONAL LABORAL",,,"Agent Pel Civisme","Jornada partida i Festivitat","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"665","ADMINISTRATIU/VA","TRESORERIA","C1/C2","14/14","26","PERSONAL LABORAL",,,"Auxiliar","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1716","ADMINISTRATIU/VA","U066 - RÂDIO RUBÍ SERVEIS AUDIOVISUALS","C1/C2","14/14","26","PERSONAL LABORAL",,,"Auxiliar","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"763","ADMINISTRATIU/VA","ÀREA DE PERSONAL","C1/C2","14/14","26","PERSONAL LABORAL",,,"Auxiliar","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1249","ADMINISTRATIU/VA","ESCOLES BRESSOLS","C2/C2","14/18","295","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"888","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1/C2","14/19/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1667","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1","14/19","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"890","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1","14/19","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"891","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1","14/19","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"892","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1/C2","14/19/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"893","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1/C2","14/19/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"894","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1/C2","14/19/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"895","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1/C2","14/19/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"955","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1","14/19","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1163","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1","14/19","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1578","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1","14/19","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1270","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C2/C2","12/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1271","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C2/C2","12/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1854","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C2/C2","19/14/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1855","TÈCNIC/A D'EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C2/C2","19/14/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1755","TÈCNIC/A EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C1/C2","14/19/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1806","TÈCNIC/A EDUCACIÓ INFANTIL","ESCOLES BRESSOLS","C1/C2/C2","19/12/18","350","PERSONAL LABORAL",,,"Auxiliar Tècnic Educació Infantil","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1677","CAP DE SERVEI DE SOSTENIBILITAT I MEDI","SERVEI DE SOSTENIBILITAT I MEDI","A2","22","40","PERSONAL LABORAL",,,"Cap Servei Sosteniblitat I Medi","Jornada habitual","Lliure designació","Vacant","818460009","Ajuntament de Rubí"
"1712","CAP MANTENIMENT","SERVEI D'OCUPACIÓ RUBÍ FORMA","C1","20","46","PERSONAL LABORAL",,,"Oficial","Jornada Partida","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1708","CONSERGE","SERVEI D'OCUPACIÓ RUBÍ FORMA","C2","12","22","PERSONAL LABORAL",,,"Oficial","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1709","CONSERGE","SERVEI D'OCUPACIÓ RUBÍ FORMA","C2","12","22","PERSONAL LABORAL",,,"Oficial","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1255","OFICIAL MANTENIMENT","SERVEI DE MOBILITAT I ACCESSIBILITAT","C2","12","23","PERSONAL LABORAL",,,"Oficial","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1817","AGENT DE PROXIMITAT","SERVEI DE RELACIONS CIUTADANES I CIVISME","C2","12","23","PERSONAL LABORAL",,,"Oficial Brigada","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1254","OFICIAL D'INFRAESTRUCTURES","SERVEI DE RELACIONS CIUTADANES I CIVISME","C2","12","23","PERSONAL LABORAL",,,"Oficial Brigada","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1816","AGENT DE PROXIMITAT","UNITAT DE BRIGADA D'OBRES","C2","12","23","PERSONAL LABORAL",,,"Oficial Brigada","Jornada Partida i Prolongació de Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1250","ENCARREGAT","UNITAT DE BRIGADA D'OBRES","C2","16","42","PERSONAL LABORAL",,,"Oficial Brigada","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"792","OFICIAL CONDUCTOR","UNITAT DE BRIGADA D'OBRES","C2","12","34","PERSONAL LABORAL",,,"Oficial Brigada","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1253","OFICIAL D'INSTAL·LACIONS","UNITAT DE BRIGADA D'OBRES","C2/C2","12/17","310","PERSONAL LABORAL",,,"Oficial Brigada","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1400","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/C2/C2","14/12/15","285","PERSONAL LABORAL",,,"Oficial Brigada","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1256","OFICIAL LAMPISTA","UNITAT RUBÍ BRILLA","C2","12","23","PERSONAL LABORAL",,,"Oficial Brigada","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1905","OFICIAL/A CEMENTIRI","UNITAT DE SERVEIS FUNERARIS","C2","12","24","PERSONAL LABORAL",,,"Oficial Cementiri","Jornada Partida","Concurs","Vacant","818460009","Ajuntament de Rubí"
"957","OFICIAL/A DE SERVEIS FUNERARIS","UNITAT DE SERVEIS FUNERARIS","C2/C2","12/15","285","PERSONAL LABORAL",,,"Oficial Cementiri","Jornada partida i Festivitat","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1724","OFICIAL/A DE SERVEIS FUNERARIS","UNITAT DE SERVEIS FUNERARIS","C2/C2","12/15","285","PERSONAL LABORAL",,,"Oficial Cementiri","Jornada partida i Festivitat","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"963","ENCARREGAT/DA DE PARCS I JARDINS","UNITAT DE PARCS I JARDINS","C2/C2","12/18","410","PERSONAL LABORAL",,,"Oficial Jardiner","Prolongació de jornada i Disponibilitat de localització","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"776","OFICIAL JARDINER","UNITAT DE PARCS I JARDINS","C2","12","23","PERSONAL LABORAL",,,"Oficial Jardiner","Prolongació Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1257","OFICIAL JARDINER","UNITAT DE PARCS I JARDINS","C2","12","23","PERSONAL LABORAL",,,"Oficial Jardiner","Prolongació Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1259","OFICIAL JARDINER","UNITAT DE PARCS I JARDINS","C2","12","23","PERSONAL LABORAL",,,"Oficial Jardiner","Prolongació Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1261","OFICIAL JARDINER","UNITAT DE PARCS I JARDINS","C2","12","23","PERSONAL LABORAL",,,"Oficial Jardiner","Prolongació Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"952","OFICIAL JARDINER","UNITAT DE PARCS I JARDINS","C2","12","23","PERSONAL LABORAL",,,"Oficial Jardiner","Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1783","OFICIAL JARDINER","UNITAT DE PARCS I JARDINS","C2","12","23","PERSONAL LABORAL",,,"Oficial Jardiner","Prolongació Jornada","Concurs","Vacant","818460009","Ajuntament de Rubí"
"791","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/C2/C2","14/12/15","285","PERSONAL LABORAL",,,"Oficial Manteniment","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"795","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/C2/C2","14/12/15","285","PERSONAL LABORAL",,,"Oficial Manteniment","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"797","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/C2/C2","14/12/15","285","PERSONAL LABORAL",,,"Oficial Manteniment","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1264","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","C2/C2","12/15","285","PERSONAL LABORAL",,,"Oficial Manteniment","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"698","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/C2/C2","14/12/15","285","PERSONAL LABORAL",,,"Oficial Manteniment","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1904","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/C2/C2","14/12/15","285","PERSONAL LABORAL",,,"Oficial Manteniment","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1283","OFICIAL/A D'INSTALACIONS","UNITAT DE MANTENIMENT D'INSTALACIONS","C1/C2/C2","17/12/17","310","PERSONAL LABORAL",,,"Oficial Manteniment","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"817","CAP MERCAT","MERCAT MUNICIPAL","C2","14","37","PERSONAL LABORAL",,,"Oficial Mercat","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1275","NETEJADOR/A","ESCOLES BRESSOLS","AP","11","18","PERSONAL LABORAL",,,"Operari","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1277","NETEJADOR/A","ESCOLES BRESSOLS","AP","11","17","PERSONAL LABORAL",,,"Operari","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1276","OPERARI/ÀRIA DE NETEJA","ESCOLES BRESSOLS","AP/AP","11/14","160","PERSONAL LABORAL",,,"Operari","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1340","CONSERGE","MERCAT MUNICIPAL","AP/AP","11/14","150","PERSONAL LABORAL",,,"Operari","Jornada partida i Festivitat","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1263","OFICIAL/A DE MANTENIMENT","SERVEI DE MOBILITAT I ACCESSIBILITAT","AP/AP","11/14","285","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1323","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/AP/C2","11/14/14","285","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1339","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/AP","12/14","285","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1624","OFICIAL/A DE MANTENIMENT","UNITAT DE BRIGADA D'OBRES","AP/AP","11/14","285","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"748","OPERARI ESPECIALITZAT","UNITAT DE BRIGADA D'OBRES","AP","12","22","PERSONAL LABORAL",,,"Operari","Jornada habitual","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1288","OPERARI ESPECIALITZAT","UNITAT DE BRIGADA D'OBRES","AP","12","22","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1317","OPERARI ESPECIALITZAT","UNITAT DE BRIGADA D'OBRES","AP","12","22","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1341","OPERARI ESPECIALITZAT","UNITAT DE BRIGADA D'OBRES","AP","12","22","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1342","OPERARI ESPECIALITZAT","UNITAT DE BRIGADA D'OBRES","AP","12","22","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1356","OPERARI ESPECIALITZAT","UNITAT DE BRIGADA D'OBRES","AP","12","22","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1289","OPERARI ESPECIALITZAT","UNITAT DE BRIGADA D'OBRES","AP","12","22","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1316","PEÓ","UNITAT DE BRIGADA D'OBRES","AP","12","20","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1303","OPERARI MANTENIMENT","UNITAT DE MANTENIMENT D'INSTALACIONS","AP","11","20","PERSONAL LABORAL",,,"Operari","Jornada Flexible","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1318","OPERARI JARDINERIA","UNITAT DE PARCS I JARDINS","AP","12","20","PERSONAL LABORAL",,,"Operari","Prolongació Jornada","Concurs","Ocupat","818460009","Ajuntament de Rubí"
"1834","CAP DE SALA","SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","C1","16","30","PERSONAL LABORAL",,,"Responsable De Manteniment","Jornada Irregular","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1725","CONSERGE","SERVEI D'EDUCACIÓ","AP","11","22","PERSONAL LABORAL",,,"Subaltern","Jornada Partida i Prolongació de Jornada","Concurs","Vacant","818460009","Ajuntament de Rubí"
