ANY,DATA_ALTA_EXPEDIENT,DATA_FINALITZACIO_EXPEDIENT,"CODI_FAMILIA","DESC_FAMILIA","CODI_DESC_FAMILIA","CODI_TRAMIT","DESC_TRAMIT","GRUP_ORGANITZATIU_ALTA","GRUP_ORGANITZATIU_RESPONSABLE","ESTAT_INTERN","TIPUS_SOLICITUD","CODI_ENS","NOM_ENS"
"2018","2018/02/05",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/05",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/05",,"PSEC","Procedimientos de secretaria","PSEC - Procedimientos de secretaria","JGL","JGL - Procediment de sessió de Junta de Govern Local","SECRETARIA GENERAL","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/01/10",,"OBRES","Licencias de obras","OBRES - Licencias de obras","OB","OB - Llicència d'obres","SERVEI DE TECNOLOGIA I SISTEMES D'INFORMACIÓ","UNITAT DE LLICÈNCIES D'OBRES","Finalitzat","OB-CUS - Llicència d'Obra (CANVI D'ÚS A HABITATGE)","818460009","Ajuntament de Rubí"
"2018","2018/01/10",,"OBRES","Licencias de obras","OBRES - Licencias de obras","OB","OB - Llicència d'obres","SERVEI DE TECNOLOGIA I SISTEMES D'INFORMACIÓ","UNITAT DE LLICÈNCIES D'OBRES","Finalitzat","OB-CUS - Llicència d'Obra (CANVI D'ÚS A HABITATGE)","818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/06",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/09",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/02/23",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/07/16",,"PSEC","Procedimientos de secretaria","PSEC - Procedimientos de secretaria","JGL","JGL - Procediment de sessió de Junta de Govern Local","SECRETARIA GENERAL","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/04/27",,"CMES","Contratación Menor","CMES - Contratación Menor","CMES","CMES - Contracte menor de serveis (v. 1)","SERVEI DE SOSTENIBILITAT I MEDI","SERVEI DE SOSTENIBILITAT I MEDI","Obert","CME - Contrato Menor","818460009","Ajuntament de Rubí"
"2018","2018/07/17",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEIS A L'EMPRESA","SECRETARIA GENERAL","Obert","SOL_CONSENT - Solicitud de consentimiento","818460009","Ajuntament de Rubí"
"2018","2018/09/19",,"PSEC","Procedimientos de secretaria","PSEC - Procedimientos de secretaria","JGL","JGL - Procediment de sessió de Junta de Govern Local","SECRETARIA GENERAL","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/10/25",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEI DE TECNOLOGIA I SISTEMES D'INFORMACIÓ","SECRETARIA GENERAL","Obert","SOL_CONSENT - Solicitud de consentimiento","818460009","Ajuntament de Rubí"
"2018","2018/10/30",,"CONT","Contratación","CONT - Contratación","LICI","LICI - Licitació i execució de contractes","SERVEI D'ATENCIÓ A LA CIUTADANIA","SERVEI DE CONTRACTACIÓ I COMPRES","Obert","CONT01 - Presentación de Licitación/Plica/Oferta","818460009","Ajuntament de Rubí"
"2018","2018/11/05",,"PSEC","Procedimientos de secretaria","PSEC - Procedimientos de secretaria","JGL","JGL - Procediment de sessió de Junta de Govern Local","SECRETARIA GENERAL","SECRETARIA GENERAL","Obert",,"818460009","Ajuntament de Rubí"
"2018","2018/11/27",,"CONT","Contratación","CONT - Contratación","LICI","LICI - Licitació i execució de contractes","SERVEI D'ATENCIÓ A LA CIUTADANIA","SERVEI DE CONTRACTACIÓ I COMPRES","Obert","CONT01 - Presentación de Licitación/Plica/Oferta","818460009","Ajuntament de Rubí"
"2018","2018/12/28",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEI DE TECNOLOGIA I SISTEMES D'INFORMACIÓ","SECRETARIA GENERAL","Obert","SOL_CONSENT - Solicitud de consentimiento","818460009","Ajuntament de Rubí"
"2018","2018/12/28",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEI DE TECNOLOGIA I SISTEMES D'INFORMACIÓ","SECRETARIA GENERAL","Obert","SOL_CONSENT - Solicitud de consentimiento","818460009","Ajuntament de Rubí"
"2018","2018/12/28",,"AJRUBI","Ayuntamiento","AJRUBI - Ayuntamiento","EXP_CONS","Consentimientos","SERVEI DE TECNOLOGIA I SISTEMES D'INFORMACIÓ","SECRETARIA GENERAL","Obert","SOL_CONSENT - Solicitud de consentimiento","818460009","Ajuntament de Rubí"
