ID_APLICACIO,"APLICACIO","DESC_APLICACIO",EXERCICI,"ORGANIC","ALIAS_PROGRAMA","ECONOMIC",ORG_COD_AREA_ORGANIC,"ORG_AREA_ORGANIC","ORG_COD_ORGANIC","ORG_ORGANIC","ECO_COD_CAPITOL","ECO_CAPITOL","ECO_COD_ARTICLE","ECO_ARTICLE","ECO_COD_CONCEPTE","ECO_CONCEPTE","ECO_COD_SUB_CONCEPTE","ECO_SUB_CONCEPTE",PREVISIONS_INICIALS,PREVISIONS_DEFINITIVES,MODIFICACIO_PREVISIONS,AUGMENT_PREVISIONS,DISMINUCIO_PREVISIONS,DRETS_RECONEGUTS_TOTALS,DRETS_RECONEGUTS_NETS,DRETS_ANULATS,RECAUDACIO_LIQUIDA,DEVOLUCIONS_INGRES,PERCENTATGE_EXECUCIO,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"1703449244","2015-3110-45080","Subv. GENCAT. Exàment salut escolar","2015","3110","111","45080","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45080","SUBV CORRENTS DE LA ADMÓN GENERAL DE LA C.A","3958.46","3958.46","0.00","0.00","0.00","3958.46","3958.46","0.00","3958.46","0.00","100","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3739309224","2015-3110-46119","DIBA - Ajuts per al desenvolupament de programes i desenvolu","2015","3110","111","46119","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46119","DIBA - AJUTS PER AL DESENVOLUPAMENT DE PROGRAMES I DESENVOLU","14500.00","14500.00","0.00","0.00","0.00","14500.00","14500.00","0.00","14500.00","0.00","100","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2349907919","2015-3110-46120","DIBA - Ajuts per al desenv. programes seguretat alimentària","2015","3110","111","46120","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46120","DIBA - AJUTS PER AL DESENVOLUPAMENT DE PROGRAMES","11210.00","11210.00","0.00","0.00","0.00","11210.00","11210.00","0.00","11210.00","0.00","100","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"4212625241","2015-3110-46121","DIBA - Ajuts per a la prevenció de plagues urbanes i legione","2015","3110","111","46121","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46121","DIBA - AJUTS PER A LA PREVENCIÓ DE PLAGUES URBANES I LEGIONE","13739.03","13739.03","0.00","0.00","0.00","13739.03","13739.03","0.00","13739.03","0.00","100","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3144272840","2015-3110-46600","FEMP - Xarxa espanyola de ciutats saludables","2015","3110","111","46600","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","466","D'ALTRES ENTITATS QUE AGRUPIN MUNICIPIS.","46600","DESCRIPCIÓN ECONÓMICA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1320309630","2015-3111-31901","Taxes per inscripció d'animals de companyia","2015","3111","111","31901","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","31","TAXES PER LA PREST DE SERVIC PÚBL DE CARÀCTER SOCIAL I PREFE","319","ALTRES TAXES PER PREST DE SERVIC DE CARÀCTER PREFERENT","31901","TAXES PER INSCRIPCIÓ D'ANIMALS DE COMPANYIA","7000.00","7000.00","0.00","0.00","0.00","12055.54","12055.54","0.00","7612.44","0.00","172.2","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3288308008","2015-3111-45080","GENCAT - Protecció d'animals de companyia (tinença d'animals","2015","3111","111","45080","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45080","SUBV CORRENTS DE LA ADMÓN GENERAL DE LA C.A","0.00","0.00","0.00","0.00","0.00","13483.46","13483.46","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"534142495","2015-3200-75000","GENCAT - Conveni complement obres adequació Pau Casals","2015","3200","111","75000","0","-","-","-","7","TRANSFERÈNCIES DE CAPITAL.","75","DE COMUNITATS AUTÒNOMES.","750","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","75000","SUB AFECTES A L'AMORTITZACIÓ DE PRÉST I OPERACIONS FRAS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3882596060","2015-3260-34205","Casals","2015","3260","111","34205","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","34","PREUS PÚBLICS.","342","SERVEIS EDUCATIUS.","34205","CASALS","11000.00","11000.00","0.00","0.00","0.00","12684.00","12602.00","82.00","8481.00","0.00","114.6","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3040116363","2015-3260-45030","GENCAT - Pla educatiu de l'entorn","2015","3260","111","45030","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45030","TRANS CTES EN CUMPL DE CONV ELS SEUS AMB C.A EN MAT D'EDUCAC","0.00","0.00","0.00","0.00","0.00","12000.00","12000.00","0.00","12000.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"557588400","2015-3260-46127","DIBA - Ajuts programa 'Coneixem els nostres parcs'","2015","3260","111","46127","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46127","DIBA - AJUTS PROGRAMA "" CONEIXEM ELS NOSTRES PARCS""","1481.04","1481.04","0.00","0.00","0.00","1658.25","1658.25","0.00","1658.25","0.00","112","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2828546912","2015-3260-46138","DIBA -  Ajuts casals d'infants d'escoles","2015","3260","111","46138","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46138","DIBA -  ACOMPANYAMENT A L'ESCOLARITAT","2442.00","2442.00","0.00","0.00","0.00","20679.00","20679.00","0.00","20679.00","0.00","846.8","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1819538837","2015-3260-48000","Subvencions Institucions i particulars sense fi de lucre","2015","3260","111","48000","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","48","DE FAMÍLIES I INSTITUCIONS SENSE FINS DE LUCRE.","480","DE FAMÍLIES I INSTITUCIONS SENSE ÀNIM DE LUCRE","48000","DESCRIPCIÓN ECONÓMICA","900.00","900.00","0.00","0.00","0.00","900.00","900.00","0.00","900.00","0.00","100","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3856408728","2015-32611-45030","GENCAT - Escola bressol Sol Solet","2015","32611","111","45030","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45030","TRANS CTES EN CUMPL DE CONV ELS SEUS AMB C.A EN MAT D'EDUCAC","0.00","0.00","0.00","0.00","0.00","14744.00","14744.00","0.00","14744.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3560192517","2015-32612-45030","GENCAT - Escola bressol Lluna","2015","32612","111","45030","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45030","TRANS CTES EN CUMPL DE CONV ELS SEUS AMB C.A EN MAT D'EDUCAC","0.00","0.00","0.00","0.00","0.00","12901.00","12901.00","0.00","12901.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
