ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2019","2019-Q1","1","2019-01","1","Gener","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","19932735.33","818460009","Ajuntament de Rubí"
"2019","2019-Q1","1","2019-02","2","Febrer","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17538842.43","818460009","Ajuntament de Rubí"
"2019","2019-Q1","1","2019-03","3","Març","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17953447.50","818460009","Ajuntament de Rubí"
"2019","2019-Q2","2","2019-04","4","Abril","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","16316314.43","818460009","Ajuntament de Rubí"
"2019","2019-Q2","2","2019-05","5","Maig","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17463205.99","818460009","Ajuntament de Rubí"
"2019","2019-Q2","2","2019-06","6","Juny","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17477435.77","818460009","Ajuntament de Rubí"
"2019","2019-Q3","3","2019-07","7","Juliol","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","19912060.08","818460009","Ajuntament de Rubí"
"2019","2019-Q3","3","2019-08","8","Agost","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","15698064.69","818460009","Ajuntament de Rubí"
"2019","2019-Q3","3","2019-09","9","Setembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17463165.22","818460009","Ajuntament de Rubí"
"2019","2019-Q4","4","2019-10","10","Octubre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17925534.47","818460009","Ajuntament de Rubí"
"2019","2019-Q4","4","2019-11","11","Novembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17775062.12","818460009","Ajuntament de Rubí"
"2019","2019-Q4","4","2019-12","12","Desembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17389398.70","818460009","Ajuntament de Rubí"
