DATA_INICI_PREVISTA,DATA_INICI_REAL,"CODI","NOM",PRESSUPOST,CODI_ESTAT,"ESTAT",EE_SCP,EE_STF,es_mocion,es_plan,activo,"nombre_organico",id,"CODI_ENS","NOM_ENS"
"2020/02/17 00:00:00.000000000","2020/02/17 00:00:00.000000000","00.01.02.02","Elaboració del Pla d'Equipaments Municipal","0.0","1","En curs","100.0","100.0","0","0","1","U019 - SERVEI D\'ATENCIÓ A LA CIUTADANIA","1237","818460009","Ajuntament de Rubí"
"2020/03/16 00:00:00.000000000","2020/03/16 00:00:00.000000000","00.02.01.01","Elaboració i aprovació del document ""Organització Municipal: Estructura, Competències i Funcions""","0.0","0","Assolit","99.78","33.33","0","0","1","U019 - SERVEI D\'ATENCIÓ A LA CIUTADANIA","1238","818460009","Ajuntament de Rubí"
"2020/03/16 00:00:00.000000000","2020/03/16 00:00:00.000000000","00.02.01.02","Elaboració mapa de processos de l'Ajuntament de Rubí","0.0","0","Assolit","100.0","66.67","0","0","1","U019 - SERVEI D\'ATENCIÓ A LA CIUTADANIA","1239","818460009","Ajuntament de Rubí"
"2020/04/03 00:00:00.000000000","2020/04/03 00:00:00.000000000","00.02.01.03","Cartes de Serveis","15342.8","0","Assolit","100.0","60.71","0","0","1","U019 - SERVEI D\'ATENCIÓ A LA CIUTADANIA","1240","818460009","Ajuntament de Rubí"
"2020/07/02 00:00:00.000000000","2020/04/06 00:00:00.000000000","00.02.01.04","Impuls al CAF","0.0","1","En curs","100.0","100.0","0","0","1","U019 - SERVEI D\'ATENCIÓ A LA CIUTADANIA","1241","818460009","Ajuntament de Rubí"
"2020/07/06 00:00:00.000000000","2020/07/06 00:00:00.000000000","00.03.01.01","Planificació econòmica quadriennal","0.0","0","Assolit","100.0","66.67","0","0","1","U019 - SERVEI D\'ATENCIÓ A LA CIUTADANIA","1242","818460009","Ajuntament de Rubí"
"2019/09/16 00:00:00.000000000","2019/09/16 00:00:00.000000000","00.03.01.02","Pressupost per objectius i resultats","0.0","0","Assolit","100.0","40.0","0","0","1","U019 - SERVEI D\'ATENCIÓ A LA CIUTADANIA","1243","818460009","Ajuntament de Rubí"
"2021/01/01 00:00:00.000000000","2021/01/01 00:00:00.000000000","00.04.01.06","Anuari Estadístic Municipal","0.0","0","Assolit","100.0","0.0","0","0","1","U005 - ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1251","818460009","Ajuntament de Rubí"
"2022/01/03 00:00:00.000000000","2022/01/01 00:00:00.000000000","00.04.01.07","Benchmarking Cercles de Comparació municipal","0.0","0","Assolit","100.0","0.0","0","0","1","U071 - ÀREA D'IGUALTAT I CIUTADANIA","1252","818460009","Ajuntament de Rubí"
"2020/01/01 00:00:00.000000000","2020/01/01 00:00:00.000000000","00.04.01.08","Participació en l'Oficina Governança de Dades (OGD)","0.0","0","Assolit","100.0","0.0","0","0","1","U046 - ÀREA DE PLANIFICACIÓ URBANA","1253","818460009","Ajuntament de Rubí"
"2020/01/01 00:00:00.000000000","2020/01/01 00:00:00.000000000","00.04.01.08","Participació en l'Oficina Governança de Dades (OGD)","0.0","0","Assolit","100.0","0.0","0","0","1","U045 - SERVEI D'OBRA PÚBLICA","1253","818460009","Ajuntament de Rubí"
"2020/09/15 00:00:00.000000000","2020/09/22 00:00:00.000000000","00.04.02.01","Estudi de clima laboral","0.0","3","Sense planificar","100.0","100.0","0","0","1","U098 - SERVEI DE SERVEIS URBANS","1254","818460009","Ajuntament de Rubí"
"2020/09/15 00:00:00.000000000","2020/09/22 00:00:00.000000000","00.04.02.01","Estudi de clima laboral","0.0","3","Sense planificar","100.0","100.0","0","0","1","U103 - UNITAT DE CICLE DE L'AIGUA","1254","818460009","Ajuntament de Rubí"
"2020/09/15 00:00:00.000000000","2020/09/22 00:00:00.000000000","00.04.02.01","Estudi de clima laboral","0.0","3","Sense planificar","100.0","100.0","0","0","1","U076 - ÀREA DE SOSTENIBILITAT I SERVEIS MUNICIPALS","1254","818460009","Ajuntament de Rubí"
"2019/10/21 00:00:00.000000000","2019/10/21 00:00:00.000000000","00.04.02.02","Desenvolupament d'habilitats directives","0.0","0","Assolit","100.0","75.0","0","0","1","U098 - SERVEI DE SERVEIS URBANS","1255","818460009","Ajuntament de Rubí"
"2019/10/21 00:00:00.000000000","2019/10/21 00:00:00.000000000","00.04.02.02","Desenvolupament d'habilitats directives","0.0","0","Assolit","100.0","75.0","0","0","1","U103 - UNITAT DE CICLE DE L'AIGUA","1255","818460009","Ajuntament de Rubí"
"2021/05/31 00:00:00.000000000","2021/05/31 00:00:00.000000000","00.04.03.01","Proposta d'adhesió a l'AMB","0.0","1","En curs","100.0","100.0","0","0","1","U103 - UNITAT DE CICLE DE L'AIGUA","1259","818460009","Ajuntament de Rubí"
"2021/05/31 00:00:00.000000000","2021/05/31 00:00:00.000000000","00.04.03.01","Proposta d'adhesió a l'AMB","0.0","1","En curs","100.0","100.0","0","0","1","U098 - SERVEI DE SERVEIS URBANS","1259","818460009","Ajuntament de Rubí"
"2020/09/16 00:00:00.000000000","2020/09/16 00:00:00.000000000","00.04.03.02","Pertinença a xarxes i espais de centralitat","0.0","0","Assolit","100.0","0.0","0","0","1","U045 - SERVEI D'OBRA PÚBLICA","1260","818460009","Ajuntament de Rubí"
"2020/02/10 00:00:00.000000000","2020/02/10 00:00:00.000000000","00.04.04.01","Garantir la contractació de la gerència de les societats i de la direcció de la Ràdio","0.0","0","Assolit","100.0","75.0","0","0","1","U045 - SERVEI D'OBRA PÚBLICA","1261","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U035 - SERVEI DE SALUT PÚBLICA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U062 - SERVEI RUBÍ FORMA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U086 - ÀMBIT D'ALCALDIA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U013 - ÀREA DE SERVEIS CENTRALS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U046 - ÀREA DE PLANIFICACIÓ URBANA","1262","818460009","Ajuntament de Rubí"
