ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2023","2023/09/28","G60845922","RUBI SOLIDARI","SUBVENCIONS LÍNIA 1.8A. ACTIVITATS DE SENSIBILITZACIÓ I EDUCACIÓ PER A LA CIUTADANIA GLOBAL","Polítiques de Ciutadania","REINTEGRADA","3810.00","3810.00","818460009","Ajuntament de Rubí"
"2023","2023/09/25","G67436675","ASSOCIACIO DAUS VALLES","SUBVENCIONS LÍNIA 1.1F. PROJECTES D'INCLUSIÓ SOCIO LABORAL DE PERSONES AMB DIVERSITAT FUNCIONAL","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","693.66","693.66","818460009","Ajuntament de Rubí"
"2023","2023/05/09","Q5855637D","ESCOLA 25 DE SETEMBRE","Ajut pel transport per les activitats pedagògiques  de la guia d'activitats curs 2022-2023 per l'escola 25 de setembre","Educació","JUSTIFICADA","401.50","401.50","818460009","Ajuntament de Rubí"
"2023","2023/09/28","G65665226","GRUP EIRENE","SUBVENCIONS LÍNIA 1.8A. ACTIVITATS DE SENSIBILITZACIÓ I EDUCACIÓ PER A LA CIUTADANIA GLOBAL","Polítiques de Ciutadania","JUSTIFICADA PARCIALMENTE","3317.60","3317.60","818460009","Ajuntament de Rubí"
"2023","2023/09/26","G16715757","ASSOCIACIO INFEST","Festival Infest","Cultura","JUSTIFICADA","4481.70","4481.70","818460009","Ajuntament de Rubí"
"2023","2023/09/28","J64895915","ACSPROSC  ASSOCIACIO CATALANA-SENEGALESA PER LA COOPERACIO I LA PROMOCIO SOCIAL I CULTURAL DE RUBI","SUBVENCIONS LÍNIA 1.8A. ACTIVITATS DE SENSIBILITZACIÓ I EDUCACIÓ PER A LA CIUTADANIA GLOBAL","Polítiques de Ciutadania","JUSTIFICADA PARCIALMENTE","1572.00","1572.00","818460009","Ajuntament de Rubí"
"2023","2023/10/11","G64599509","CLUB ESCOLA DE FUTBOL CAN MIR","Subvención 2023.CEF Can Mir. Subvención actividades de temporada deportiva 22-23","Esports","JUSTIFICADA PARCIALMENTE","2000.00","2000.00","818460009","Ajuntament de Rubí"
"2023","2023/04/12","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","Subvención 2023. CE Rubi Futbol Sala. Organización escuela deportiva, temp. 22-23","Esports","JUSTIFICADA PARCIALMENTE","3100.00","3100.00","818460009","Ajuntament de Rubí"
"2023","2023/09/19","G65876955","ASSOC SOLIDARITAT I AJUDA VEINAL (ASAV)","SUBVENCIÓ LÍNIA 1.1C. PROJECTES SOCIOEDUCATIUS ADREÇATS A LA INFÀNCIA I A L'ADOLESCÈNCIA.","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","4957.31","4957.31","818460009","Ajuntament de Rubí"
"2023","2023/09/25","G08992786","ASSOCIACIÓ DE PERSONES AMB DIVERSITAT INTELECTUAL DE RUBÍ","SUBVENCIONS LÍNIA 1.1F. PROJECTES D'INCLUSIÓ SOCIO LABORAL DE PERSONES AMB DIVERSITAT FUNCIONAL","Sanitat i serveis socials","JUSTIFICADA","6000.00","6000.00","818460009","Ajuntament de Rubí"
