ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2016","2016-Q1","1","2016-01","1","Gener","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","21633308.00","818460009","Ajuntament de Rubí"
"2016","2016-Q1","1","2016-02","2","Febrer","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","20921829.00","818460009","Ajuntament de Rubí"
"2016","2016-Q1","1","2016-03","3","Març","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","22059092.00","818460009","Ajuntament de Rubí"
"2016","2016-Q2","2","2016-04","4","Abril","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","21894928.00","818460009","Ajuntament de Rubí"
"2016","2016-Q2","2","2016-05","5","Maig","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","21786298.00","818460009","Ajuntament de Rubí"
"2016","2016-Q2","2","2016-06","6","Juny","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","21449750.00","818460009","Ajuntament de Rubí"
"2016","2016-Q3","3","2016-07","7","Juliol","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","23269954.00","818460009","Ajuntament de Rubí"
"2016","2016-Q3","3","2016-08","8","Agost","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","23310897.00","818460009","Ajuntament de Rubí"
"2016","2016-Q3","3","2016-09","9","Setembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","19857250.00","818460009","Ajuntament de Rubí"
"2016","2016-Q4","4","2016-10","10","Octubre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","23978857.00","818460009","Ajuntament de Rubí"
"2016","2016-Q4","4","2016-11","11","Novembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","22739304.00","818460009","Ajuntament de Rubí"
"2016","2016-Q4","4","2016-12","12","Desembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","23693947.00","818460009","Ajuntament de Rubí"
