ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2018","1","2018-Q1","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","313802.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 01","Secció 1","Districte 01 / Secció 1","15699.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 01","Secció 2","Districte 01 / Secció 2","17286.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 01","Secció 3","Districte 01 / Secció 3","41517.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 02","Secció 1","Districte 02 / Secció 1","19696.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 02","Secció 3","Districte 02 / Secció 3","19270.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 03","Secció 1","Districte 03 / Secció 1","10767.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 03","Secció 3","Districte 03 / Secció 3","18979.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 03","Secció 4","Districte 03 / Secció 4","15735.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 03","Secció 5","Districte 03 / Secció 5","18601.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 03","Secció 6","Districte 03 / Secció 6","17814.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 03","Secció 7","Districte 03 / Secció 7","18429.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 03","Secció 8","Districte 03 / Secció 8","10090.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 1","Districte 04 / Secció 1","15837.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 2","Districte 04 / Secció 2","14851.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 3","Districte 04 / Secció 3","15220.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 4","Districte 04 / Secció 4","21562.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 5","Districte 04 / Secció 5","17145.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 6","Districte 04 / Secció 6","15402.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 7","Districte 04 / Secció 7","15357.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 8","Districte 04 / Secció 8","9597.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 9","Districte 04 / Secció 9","37923.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 10","Districte 04 / Secció 10","24950.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 11","Districte 04 / Secció 11","22837.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 12","Districte 04 / Secció 12","14789.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 13","Districte 04 / Secció 13","19233.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 14","Districte 04 / Secció 14","16380.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 15","Districte 04 / Secció 15","13374.00","818460009","Ajuntament de Rubí"
"2018","1","2018-Q1","Districte 04","Secció 16","Districte 04 / Secció 16","17516.00","818460009","Ajuntament de Rubí"
