ID_APLICACIO,"APLICACIO","DESC_APLICACIO",EXERCICI,"ORGANIC","ALIAS_PROGRAMA","ECONOMIC",ORG_COD_AREA_ORGANIC,"ORG_AREA_ORGANIC","ORG_COD_ORGANIC","ORG_ORGANIC","ECO_COD_CAPITOL","ECO_CAPITOL","ECO_COD_ARTICLE","ECO_ARTICLE","ECO_COD_CONCEPTE","ECO_CONCEPTE","ECO_COD_SUB_CONCEPTE","ECO_SUB_CONCEPTE",PREVISIONS_INICIALS,PREVISIONS_DEFINITIVES,MODIFICACIO_PREVISIONS,AUGMENT_PREVISIONS,DISMINUCIO_PREVISIONS,DRETS_RECONEGUTS_TOTALS,DRETS_RECONEGUTS_NETS,DRETS_ANULATS,RECAUDACIO_LIQUIDA,DEVOLUCIONS_INGRES,PERCENTATGE_EXECUCIO,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"442647485","2016-1320-30902","Prestació de serveis de policia local","2016","1320","111","30902","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","30","TAXES PER LA PRESTACIÓ DE SERVEIS PÚBLICS BÀSICS.","309","ALTRES TAXES PER PRESTACIÓ DE SERVEIS BÀSICS.","30902","PRESTACIÓ DE SERVEIS DE POLICIA LOCAL","500.00","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"1467945854","2016-1320-32500","Expedició de documents,","2016","1320","111","32500","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","325","TAXA PER EXPEDICIÓ DE DOCUMENTS.","32500","EXPEDICIÓ DE DOCUMENTS","10000.00","10000.00","0.00","0.00","0.00","43813.66","43448.61","365.05","43448.61","365.05","434.5","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"3040960033","2016-1320-39120","Multes per infraccions de circulació","2016","1320","111","39120","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","39","ALTRES INGRESSOS.","391","MULTES.","39120","MULTES PER INFRACCIONS DE L'ORDENANÇA DE CIRCULACIÓ.","1250000.00","1250000.00","0.00","0.00","0.00","2989065.00","2024452.33","964612.67","846571.79","642.67","162","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"2471928992","2016-1340-32600","Servei de grua","2016","1340","111","32600","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","326","TAXA PER RETIRADA DE VEHICLES.","32600","SERVEI DE GRUA","276000.00","276000.00","0.00","0.00","0.00","234395.45","232400.45","1995.00","232400.45","1995.00","84.2","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"2550850461","2016-1340-32900","Elements publicitaris a la via pública","2016","1340","111","32900","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","329","ALTRES TAXES PER LA REALIZAC DE ACTIVID DE COMPET LOCAL","32900","ELEMENTS PUBLICITARIS A LA VIA PÚBLICA","30000.00","30000.00","0.00","0.00","0.00","24762.00","24762.00","0.00","24762.00","0.00","82.5","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"795328375","2016-1340-33000","Taxa dipòsit de vehicles","2016","1340","111","33000","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","330","TAXA D'ESTACIONAMENT DE VEHICLES.","33000","TAXA DIPÒSIT DE VEHICLES","6000.00","6000.00","0.00","0.00","0.00","4482.55","4482.55","0.00","4482.55","0.00","74.7","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"1482723297","2016-1340-33001","Reserves per estacionament","2016","1340","111","33001","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","330","TAXA D'ESTACIONAMENT DE VEHICLES.","33001","RESERVES PER ESTACIONAMENT","28000.00","28000.00","0.00","0.00","0.00","18994.50","18994.50","0.00","18994.50","0.00","67.8","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"782619968","2016-1340-33100","Entrada de vehicles en edificis","2016","1340","111","33100","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","331","TAXA PER ENTRADA DE VEHICLES.","33100","ENTRADA DE VEHICLES EN EDIFICIS","1050000.00","1050000.00","0.00","0.00","0.00","1066423.73","1053320.22","13103.51","945562.33","738.97","100.3","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"3232478316","2016-1340-33102","Plaques de gual","2016","1340","111","33102","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","331","TAXA PER ENTRADA DE VEHICLES.","33102","PLAQUES DE GUAL","1500.00","1500.00","0.00","0.00","0.00","1621.53","1621.53","0.00","1621.53","0.00","108.1","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
"699170204","2016-1340-33500","Ocupació via pública taules i cadires","2016","1340","111","33500","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","335","TAXA PER OCUPACIÓ DE LA VIA PÚBLICA AMB TERRASSES.","33500","OCUPACIÓ VIA PÚBLICA TAULES I CADIRES","90000.00","90000.00","0.00","0.00","0.00","107978.30","105993.30","1985.00","90159.36","0.00","117.8","2024/09/03 13:13:28.429","818460009","Ajuntament de Rubí"
