ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2017","2017-Q1","1","2017-01","1","Gener","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","20997397.00","818460009","Ajuntament de Rubí"
"2017","2017-Q1","1","2017-02","2","Febrer","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","21931765.00","818460009","Ajuntament de Rubí"
"2017","2017-Q1","1","2017-03","3","Març","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","21396955.00","818460009","Ajuntament de Rubí"
"2017","2017-Q2","2","2017-04","4","Abril","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","18585221.00","818460009","Ajuntament de Rubí"
"2017","2017-Q2","2","2017-05","5","Maig","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17841156.00","818460009","Ajuntament de Rubí"
"2017","2017-Q2","2","2017-06","6","Juny","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","21012563.00","818460009","Ajuntament de Rubí"
"2017","2017-Q3","3","2017-07","7","Juliol","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","20797512.00","818460009","Ajuntament de Rubí"
"2017","2017-Q3","3","2017-08","8","Agost","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","22782119.00","818460009","Ajuntament de Rubí"
"2017","2017-Q3","3","2017-09","9","Setembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17897549.00","818460009","Ajuntament de Rubí"
"2017","2017-Q4","4","2017-10","10","Octubre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","20474216.00","818460009","Ajuntament de Rubí"
"2017","2017-Q4","4","2017-11","11","Novembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","20616203.00","818460009","Ajuntament de Rubí"
"2017","2017-Q4","4","2017-12","12","Desembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","22767788.00","818460009","Ajuntament de Rubí"
