ANY,"DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_M3,CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2016","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","950786.00","10458646.00","818460009","Ajuntament de Rubí"
"2016","Districte 01","Secció 1","Districte 01 / Secció 1","192259.00","2114849.00","818460009","Ajuntament de Rubí"
"2016","Districte 01","Secció 2","Districte 01 / Secció 2","174691.00","1921601.00","818460009","Ajuntament de Rubí"
"2016","Districte 01","Secció 3","Districte 01 / Secció 3","372150.00","4093650.00","818460009","Ajuntament de Rubí"
"2016","Districte 02","Secció 1","Districte 02 / Secció 1","140958.00","1550538.00","818460009","Ajuntament de Rubí"
"2016","Districte 02","Secció 3","Districte 02 / Secció 3","147628.00","1623908.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 1","Districte 03 / Secció 1","231375.00","2545125.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 3","Districte 03 / Secció 3","167690.00","1844590.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 4","Districte 03 / Secció 4","150599.00","1656589.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 5","Districte 03 / Secció 5","234246.00","2576706.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 6","Districte 03 / Secció 6","136732.00","1504052.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 7","Districte 03 / Secció 7","223180.00","2454980.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 8","Districte 03 / Secció 8","83202.00","915222.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 1","Districte 04 / Secció 1","213078.00","2343858.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 2","Districte 04 / Secció 2","252446.00","2776906.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 3","Districte 04 / Secció 3","212827.00","2341097.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 4","Districte 04 / Secció 4","262692.00","2889612.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 5","Districte 04 / Secció 5","267206.00","2939266.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 6","Districte 04 / Secció 6","197188.00","2169068.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 7","Districte 04 / Secció 7","229556.00","2525116.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 8","Districte 04 / Secció 8","102958.00","1132538.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 9","Districte 04 / Secció 9","292347.00","3215817.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 10","Districte 04 / Secció 10","226465.00","2491115.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 11","Districte 04 / Secció 11","255543.00","2810973.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 12","Districte 04 / Secció 12","191896.00","2110856.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 13","Districte 04 / Secció 13","149917.00","1649087.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 14","Districte 04 / Secció 14","243851.00","2682361.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 15","Districte 04 / Secció 15","137926.00","1517186.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 16","Districte 04 / Secció 16","283981.00","3123791.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 18","Districte 04 / Secció 18","159058.00","1749638.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 19","Districte 04 / Secció 19","117595.00","1293545.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 20","Districte 04 / Secció 20","89525.00","984775.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 21","Districte 04 / Secció 21","319289.00","3512179.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 22","Districte 04 / Secció 22","324749.00","3572239.00","818460009","Ajuntament de Rubí"
"2016","Districte 01","Secció 4","Districte 01 / Secció 4","142031.00","1562341.00","818460009","Ajuntament de Rubí"
"2016","Districte 02","Secció 4","Districte 02 / Secció 4","305358.00","3358938.00","818460009","Ajuntament de Rubí"
"2016","Districte 02","Secció 5","Districte 02 / Secció 5","99347.00","1092817.00","818460009","Ajuntament de Rubí"
"2016","Districte 02","Secció 6","Districte 02 / Secció 6","127390.00","1401290.00","818460009","Ajuntament de Rubí"
"2016","Districte 03","Secció 9","Districte 03 / Secció 9","364065.00","4004715.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 23","Districte 04 / Secció 23","116791.00","1284701.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 24","Districte 04 / Secció 24","171087.00","1881957.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 25","Districte 04 / Secció 25","77544.00","852984.00","818460009","Ajuntament de Rubí"
"2016","Districte 04","Secció 26","Districte 04 / Secció 26","233965.00","2573615.00","818460009","Ajuntament de Rubí"
