ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2020","2020-Q1","1","2020-01","1","Gener","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","19345284.37","818460009","Ajuntament de Rubí"
"2020","2020-Q1","1","2020-02","2","Febrer","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17674172.55","818460009","Ajuntament de Rubí"
"2020","2020-Q1","1","2020-03","3","Març","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","16903265.50","818460009","Ajuntament de Rubí"
"2020","2020-Q2","2","2020-04","4","Abril","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","15025852.61","818460009","Ajuntament de Rubí"
"2020","2020-Q2","2","2020-05","5","Maig","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","16227547.60","818460009","Ajuntament de Rubí"
"2020","2020-Q2","2","2020-06","6","Juny","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","15194847.52","818460009","Ajuntament de Rubí"
"2020","2020-Q3","3","2020-07","7","Juliol","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","17670364.88","818460009","Ajuntament de Rubí"
"2020","2020-Q3","3","2020-08","8","Agost","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","16313063.98","818460009","Ajuntament de Rubí"
"2020","2020-Q3","3","2020-09","9","Setembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","18855033.23","818460009","Ajuntament de Rubí"
"2020","2020-Q4","4","2020-10","10","Octubre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","19006266.39","818460009","Ajuntament de Rubí"
"2020","2020-Q4","4","2020-11","11","Novembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","19829070.31","818460009","Ajuntament de Rubí"
"2020","2020-Q4","4","2020-12","12","Desembre","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","19731479.83","818460009","Ajuntament de Rubí"
