ANY,"DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_M3,CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2018","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","1056007.00","11616077.00","818460009","Ajuntament de Rubí"
"2018","Districte 01","Secció 1","Districte 01 / Secció 1","242416.00","2666576.00","818460009","Ajuntament de Rubí"
"2018","Districte 01","Secció 2","Districte 01 / Secció 2","207744.00","2285184.00","818460009","Ajuntament de Rubí"
"2018","Districte 01","Secció 3","Districte 01 / Secció 3","482648.00","5309128.00","818460009","Ajuntament de Rubí"
"2018","Districte 02","Secció 1","Districte 02 / Secció 1","188484.00","2073324.00","818460009","Ajuntament de Rubí"
"2018","Districte 02","Secció 3","Districte 02 / Secció 3","187684.00","2064524.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 1","Districte 03 / Secció 1","261978.00","2881758.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 3","Districte 03 / Secció 3","196264.00","2158904.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 4","Districte 03 / Secció 4","177220.00","1949420.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 5","Districte 03 / Secció 5","282306.00","3105366.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 6","Districte 03 / Secció 6","166348.00","1829828.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 7","Districte 03 / Secció 7","273273.00","3006003.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 8","Districte 03 / Secció 8","96935.00","1066285.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 1","Districte 04 / Secció 1","258853.00","2847383.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 2","Districte 04 / Secció 2","292854.00","3221394.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 3","Districte 04 / Secció 3","254206.00","2796266.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 4","Districte 04 / Secció 4","318476.00","3503236.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 5","Districte 04 / Secció 5","509144.00","5600584.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 6","Districte 04 / Secció 6","243581.00","2679391.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 7","Districte 04 / Secció 7","277142.00","3048562.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 8","Districte 04 / Secció 8","127311.00","1400421.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 9","Districte 04 / Secció 9","540988.00","5950868.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 10","Districte 04 / Secció 10","287791.00","3165701.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 11","Districte 04 / Secció 11","308309.00","3391399.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 12","Districte 04 / Secció 12","228471.00","2513181.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 13","Districte 04 / Secció 13","182524.00","2007764.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 14","Districte 04 / Secció 14","303525.00","3338775.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 15","Districte 04 / Secció 15","156355.00","1719905.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 16","Districte 04 / Secció 16","340326.00","3743586.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 18","Districte 04 / Secció 18","178536.00","1963896.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 19","Districte 04 / Secció 19","147157.00","1618727.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 20","Districte 04 / Secció 20","114347.00","1257817.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 21","Districte 04 / Secció 21","375105.00","4126155.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 22","Districte 04 / Secció 22","411211.00","4523321.00","818460009","Ajuntament de Rubí"
"2018","Districte 01","Secció 4","Districte 01 / Secció 4","199120.00","2190320.00","818460009","Ajuntament de Rubí"
"2018","Districte 02","Secció 4","Districte 02 / Secció 4","383988.00","4223868.00","818460009","Ajuntament de Rubí"
"2018","Districte 02","Secció 5","Districte 02 / Secció 5","125644.00","1382084.00","818460009","Ajuntament de Rubí"
"2018","Districte 02","Secció 6","Districte 02 / Secció 6","376438.00","4140818.00","818460009","Ajuntament de Rubí"
"2018","Districte 03","Secció 9","Districte 03 / Secció 9","419130.00","4610430.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 23","Districte 04 / Secció 23","155014.00","1705154.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 24","Districte 04 / Secció 24","208612.00","2294732.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 25","Districte 04 / Secció 25","103067.00","1133737.00","818460009","Ajuntament de Rubí"
"2018","Districte 04","Secció 26","Districte 04 / Secció 26","285965.00","3145615.00","818460009","Ajuntament de Rubí"
