"ID","DATA_ACCIDENT",ANY_ACCIDENT,MES_ACCIDENT,"DIA_SETMANA_ACCIDENT","HORA_ACCIDENT","TIPUS_ACCIDENT",N_IMPLICATS,"ZONA","CODI_ENS","NOM_ENS","TRAM_HORARI",LATITUD,LONGITUD,"PUNT_ACCIDENT"
"4/2022","2022-01-01","2022","1","Dissabte","18:42:00","Atropellament","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.494359","2.03036","POINT (419063.641 4594091.73)"
"6/2022","2022-01-03","2022","1","Dilluns","19:45:00","Xoc sense sortida de via","2","Sector Z","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.489911","2.042191","POINT (420045.741 4593586.89)"
"8/2022","2022-01-04","2022","1","Dimarts","21:40:00","Col·lisió frontal","2","Les Torres","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.485768","2.030497","POINT (419064.366 4593137.8)"
"9/2022","2022-01-05","2022","1","Dimecres","15:12:00","Xoc sense sortida de via","5","Ca n'Oriol","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.496926","2.041258","POINT (419976.458 4594366.63)"
"10/2022","2022-01-06","2022","1","Dijous","15:40:00","Encalç","2","Plana de Can Bertran","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.492594","2.03849","POINT (419740.118031 4593888.163173)"
"11/2022","2022-01-07","2022","1","Divendres","08:30:00","Xoc sense sortida de via","1","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)","41.488512","2.028737","POINT (418920.899 4593444.16)"
"12/2022","2022-01-07","2022","1","Divendres","11:30:00","Fregament positiu (diferent sentit)","2","Zona Nord","818460009","Ajuntament de Rubí","Matí (06 a 14)","41.496131","2.032798","POINT (419269.356 4594286.17)"
"13/2022","2022-01-08","2022","1","Dissabte","14:45:00","Atropellament","2","Les Torres","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.485165","2.0318","POINT (419172.441 4593069.66)"
"14/2022","2022-01-08","2022","1","Dissabte","22:00:00","Resta sortides de via","1","Can Rosés","818460009","Ajuntament de Rubí","Nit (22 a 06)","41.506806","2.036237","POINT (419569.583 4595468.1)"
"15/2022","2022-01-09","2022","1","Diumenge","11:15:00","Encalç","2","El Mercat","818460009","Ajuntament de Rubí","Matí (06 a 14)","41.48703","2.038715","POINT (419752.007 4593270.23)"
"17/2022","2022-01-10","2022","1","Dilluns","22:00:00","Caiguda en la via","1","Can Fatjó","818460009","Ajuntament de Rubí","Nit (22 a 06)","41.490627","2.027139","POINT (418790.150492 4593680.371546)"
"18/2022","2022-01-11","2022","1","Dimarts","11:05:00","Fregament negatiu (mateix sentit)","2","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)","41.50683","2.035845","POINT (419536.932 4595471.14)"
"19/2022","2022-01-15","2022","1","Dissabte","19:11:00","Envestida","2","Can Rosés","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.505352","2.039371","POINT (419829.398419 4595303.811378)"
"20/2022","2022-01-15","2022","1","Dissabte","23:20:00","Caiguda en la via","1","Can Ximelis - D4","818460009","Ajuntament de Rubí","Nit (22 a 06)","41.495578","2.012415","POINT (417567.341541 4594243.984424)"
"22/2022","2022-01-15","2022","1","Dissabte","23:25:00","Sortida de via amb xoc o col·lisió","1","Can Rosés","818460009","Ajuntament de Rubí","Nit (22 a 06)","41.506577","2.036167","POINT (419563.48 4595442.74)"
"21/2022","2022-01-16","2022","1","Diumenge","18:00:00","Sortida de via amb xoc o col·lisió","1","Sant Muç","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.500431","2.026812","POINT (418775.057095 4594769.212445)"
"23/2022","2022-01-17","2022","1","Dilluns","14:00:00","Encalç","2","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)","41.490869","2.029159","POINT (418959.041471 4593705.399467)"
