"DATA_MATRICULA","SITUACIO_ACTUAL","MARCA",KM_ACTUALS,"TIPUS","ADSCRIPCIO","TITULARITAT",id,"CODI_ENS","NOM_ENS"
"22/12/2021","OPERATIU","SEAT ATECA","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","154","818460009","Ajuntament de Rubí"
"22/12/2021","OPERATIU","SEAT ATECA","30658","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","151","818460009","Ajuntament de Rubí"
"22/12/2021","OPERATIU","SEAT  ATECA","122760","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","153","818460009","Ajuntament de Rubí"
"03/12/2021","OPERATIU","NISSAN  NAVARA","0","Turismo Todo Terreno","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","172","818460009","Ajuntament de Rubí"
"15/10/2021","OPERATIU","TOYOTA PRIUS PLUS","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","129","818460009","Ajuntament de Rubí"
"15/10/2021","OPERATIU","TOYOTA PRIUS PLUS","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","128","818460009","Ajuntament de Rubí"
"15/10/2021","OPERATIU","TOYOTA PRIUS PLUS","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","130","818460009","Ajuntament de Rubí"
"06/10/2021","OPERATIU","NIU NGT","0","Motocicleta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","127","818460009","Ajuntament de Rubí"
"28/09/2021","OPERATIU","ISUZU / CAYVOL  SERIE BLUE","16343","Camión MMA < = 3.500 kg / Caja abierta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","126","818460009","Ajuntament de Rubí"
"10/05/2019","OPERATIU","NISSAN SCATTOLINI NISSAN NT400","40536","Camión MMA < = 3.500 kg / Caja abierta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","111","818460009","Ajuntament de Rubí"
"12/03/2018","OPERATIU","KYMCO GRAND DINK 300","6784","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","80","818460009","Ajuntament de Rubí"
"12/03/2018","OPERATIU","KYMCO GRAND DINK 300","6800","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","79","818460009","Ajuntament de Rubí"
"30/03/2017","OPERATIU","HONDA NS300","15420","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","17","818460009","Ajuntament de Rubí"
"02/01/2017","OPERATIU","CRM CRMES-3000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","108","818460009","Ajuntament de Rubí"
"02/01/2017","OPERATIU","CRM CRMES-3000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","110","818460009","Ajuntament de Rubí"
"02/01/2017","OPERATIU","CRM CRMES-3000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","109","818460009","Ajuntament de Rubí"
"22/06/2016","OPERATIU","YAMAHA DM04","8488","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","32","818460009","Ajuntament de Rubí"
"01/01/2016","OPERATIU","HONDA NS300","13640","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","9","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","102","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","104","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","101","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","103","818460009","Ajuntament de Rubí"
"21/09/2015","OPERATIU","NISSAN NV200","33949","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","58","818460009","Ajuntament de Rubí"
"21/09/2015","OPERATIU","NISSAN NV200","49000","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","60","818460009","Ajuntament de Rubí"
"21/09/2015","OPERATIU","NISSAN NV200","42726","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","59","818460009","Ajuntament de Rubí"
"18/09/2015","OPERATIU","SYMPHONY 125SR","25489","Motocicleta","U050 - SERVEI DE MOBILITAT I ACCESSIBILITAT","Propietat","26","818460009","Ajuntament de Rubí"
"18/09/2015","OPERATIU","SYMPHONY 125SR","12085","Motocicleta","U052 - SERVEI DE SOSTENIBILITAT I MEDI","Propietat","25","818460009","Ajuntament de Rubí"
"05/08/2015","OPERATIU","SYMPHONY 125SR","13570","Motocicleta","U101 - UNITAT D'INSPECCIÓ I PROGRAMACIÓ","Propietat","20","818460009","Ajuntament de Rubí"
"28/04/2015","OPERATIU","AVANT 520","10111","Máquina de obras automotriz / Cargadora","U047 - UNITAT DE PARCS I JARDINS","Propietat","92","818460009","Ajuntament de Rubí"
"07/01/2015","OPERATIU","YAMAHA XT600R","33034","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","15","818460009","Ajuntament de Rubí"
"26/08/2014","OPERATIU","HONDA NS300","26155","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","66","818460009","Ajuntament de Rubí"
"26/08/2014","OPERATIU","HONDA NS300","23300","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","62","818460009","Ajuntament de Rubí"
"13/01/2014","OPERATIU","SANYOU SY600TD","2463","Motocicleta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","22","818460009","Ajuntament de Rubí"
"13/02/2012","OPERATIU","VECTRIX ELECTRIC","28381","Motocicleta","U040 - SERVEI D'ESPORTS","Propietat","29","818460009","Ajuntament de Rubí"
"30/06/2011","OPERATIU","NISSAN NAVARA","136348","Camión MMA < = 3.500 kg / Caja abierta","U080 - UNITAT DE PROTECCIO CIVIL","Propietat","50","818460009","Ajuntament de Rubí"
"28/12/2010","OPERATIU","NISSAN CABSTAR","97533","Camión MMA < = 3.500 kg / Basculante","U047 - UNITAT DE PARCS I JARDINS","Propietat","77","818460009","Ajuntament de Rubí"
"10/12/2009","OPERATIU","VECTRIX ELECTRIC","23205","Motocicleta","U078 - SERVEI DE RELACIONS CIUTADANES","Propietat","5","818460009","Ajuntament de Rubí"
"10/12/2009","OPERATIU","VECTRIX ELECTRIC","18579","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","2","818460009","Ajuntament de Rubí"
"13/12/2007","OPERATIU","SEAT ALTEA","47142","Turismo","U045 - SERVEI D'OBRA PÚBLICA","Propietat","53","818460009","Ajuntament de Rubí"
"19/09/2007","OPERATIU","SEAT ALTEA","103000","Turismo","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","49","818460009","Ajuntament de Rubí"
"12/09/2007","OPERATIU","NISSAN KUBISTAR","70004","Furgón/Furgoneta < = 3.500 Kg","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","33","818460009","Ajuntament de Rubí"
"12/09/2007","OPERATIU","NISSAN KUBISTAR","37918","Furgón/Furgoneta < = 3.500 Kg","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","34","818460009","Ajuntament de Rubí"
"19/07/2006","OPERATIU","MERCEDES VITO","54364","Furgón/Furgoneta < = 3.500 Kg / Exposición u oficinas","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","67","818460009","Ajuntament de Rubí"
"13/04/2006","OPERATIU","JCB  3CX 4","5000","Máquina de obras automotriz / Cargadora retro-excavadora","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","95","818460009","Ajuntament de Rubí"
"15/02/2006","OPERATIU","CITROEN BERLINGO","107228","Vehículo mixto adaptable","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","41","818460009","Ajuntament de Rubí"
"15/02/2006","OPERATIU","CITROEN BERLINGO","129483","Vehículo mixto adaptable","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","42","818460009","Ajuntament de Rubí"
"22/12/2005","OPERATIU","NISSAN KUBISTAR","83039","Furgón/Furgoneta < = 3.500 Kg","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","19","818460009","Ajuntament de Rubí"
"09/11/2005","OPERATIU","NISSAN KUBISTAR","76292","Furgón/Furgoneta < = 3.500 Kg","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","78","818460009","Ajuntament de Rubí"
"30/08/2005","OPERATIU","SEAT IBIZA","79720","Turismo","U078 - SERVEI DE RELACIONS CIUTADANES","Propietat","7","818460009","Ajuntament de Rubí"
"01/08/2005","OPERATIU","PIQUERSA DUMPER 1500S VH","0","Máquina de servicios automotriz / Dumper","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","97","818460009","Ajuntament de Rubí"
"06/06/2005","OPERATIU","FIAT PANDA","63620","Turismo","U019 - SERVEI D'ATENCIÓ A LA CIUTADANIA","Propietat","39","818460009","Ajuntament de Rubí"
"17/05/2005","OPERATIU","NISSAN KUBISTAR","72990","Furgón/Furgoneta < = 3.500 Kg","U078 - SERVEI DE RELACIONS CIUTADANES","Propietat","30","818460009","Ajuntament de Rubí"
