ID,"ACTIVITAT","NOM_COMERCIAL","EMPLAÇAMENT","ZONA",LATITUD,LONGITUD,"WEB","CODI_ENS","NOM_ENS"
"2481","FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL","TALLERES TAMESA, SA","C STRAUSS,   10-12 NV 04","Districte Administratiu 1 - SUD-OEST","41.47232922947914","2.0194416621178517",,"818460009","Ajuntament de Rubí"
"1238","APARCAMENT PRIVAT DE CAMIONS","GERARDO MORENO TRANSPORTS","C STRAUSS,   16 NV 06","Districte Administratiu 1 - SUD-OEST","41.47212163232346","2.020000710873633",,"818460009","Ajuntament de Rubí"
"3187","APARCAMENT PRIVAT DE VEHICLES",,"C MENDEZ NUÑEZ,   12-14","Districte Administratiu 4 - CENTRE","41.48837362060554","2.030550919867636",,"818460009","Ajuntament de Rubí"
"1616","FABRICACIO DE CORTINES INDUSTRIALS DE LAMES","LIFLEXIBERICA","C CICLISME,   33 07","Districte Administratiu 5 - NORD","41.50210192236782","2.0396081500703",,"818460009","Ajuntament de Rubí"
"2629","MAGATZEM I EXPEDICIÓ DE BOBINES DE COURE","VICENTE TORNS DISTRIBUTION","C CAN POLIT,    9-11","Districte Administratiu 2 - NORD-OEST","41.50935762991739","2.0312885995458534",,"818460009","Ajuntament de Rubí"
"830","Planta de valorització de residus no perillosos procedents de la construcció
amb una capacitat de gestió de fins a 100.000 Tn anuals","DELTAPUNT","C CAN POLIT,   15","Districte Administratiu 2 - NORD-OEST","41.51053553782474","2.0314863152461733",,"818460009","Ajuntament de Rubí"
"2948","APARCAMENT PRIVAT DE VEHICLES",,"C ORSO,   27-31","Districte Administratiu 4 - CENTRE","41.494849224410956","2.032390311240726",,"818460009","Ajuntament de Rubí"
"3252","APARCAMENT PRIVAT DE VEHICLES",,"AV OLIMPIADES,   37","Districte Administratiu 5 - NORD","41.50081369380135","2.0401232116791013",,"818460009","Ajuntament de Rubí"
"2714","Fabricació de productes ceràmics domèstics i ornomentals amb forns inferiors a 75 tones/dia",,"PG RIERA,  222 NV B","Districte Administratiu 5 - NORD","41.50894355540862","2.0341018027572457",,"818460009","Ajuntament de Rubí"
"2940","APARCAMENT PRIVAT DE VEHICLES",,"C VALLADOLID,   40-42","Districte Administratiu 5 - NORD","41.50135260658359","2.045542092470009",,"818460009","Ajuntament de Rubí"
"2662","EXPOSICIÓ, VENDA I REPARACIÓ DE MAQUINARIA DE PREC.","WAXCO","AV CAN SUCARRATS,  100 NV 05","Districte Administratiu 1 - SUD-OEST","41.47956546708769","2.0228580656324695",,"818460009","Ajuntament de Rubí"
"545","Magatzem de material per a la construcció","CANEXEL","C PUIG I GAIRALT,   12 NV 02","Districte Administratiu 1 - SUD-OEST","41.464206066980964","2.010796469666731",,"818460009","Ajuntament de Rubí"
"1276","CENTRE SUPORT FAMLIAR","GRANOTETA BLAVA","C SANTA LLUCIA,    9-11 LOC 01","Districte Administratiu 4 - CENTRE","41.490943547148284","2.0292590142976854",,"818460009","Ajuntament de Rubí"
"2453","GIMNÀS","TAE KWON DO DAL MA ESCUELA DE ARTES MARCIALES","C SANTA LLUCIA,    9-11","Districte Administratiu 4 - CENTRE","41.490943547148284","2.0292590142976854",,"818460009","Ajuntament de Rubí"
"3268","APARCAMENT PRIVAT DE VEHICLES",,"C SANTA LLUCIA,    9-11","Districte Administratiu 4 - CENTRE","41.490943547148284","2.0292590142976854",,"818460009","Ajuntament de Rubí"
"140","APARCAMENT PRIVAT","APARCAMENT PRIVAT","C PRIMER DE MAIG,   21","Districte Administratiu 5 - NORD","41.49979509671142","2.033449717911043",,"818460009","Ajuntament de Rubí"
"3250","APARCAMENT PRIVAT DE VEHICLES",,"C PALENCIA,   39 ST 01","Districte Administratiu 5 - NORD","41.50331925549934","2.047873411561451",,"818460009","Ajuntament de Rubí"
"2297","FUSTERIA METÀL·LICA","SABASA, SL","PG RIERA,   47 LOC","Districte Administratiu 1 - SUD-OEST","41.4901814775457","2.02773402602441",,"818460009","Ajuntament de Rubí"
"694","CENTRE D'IOGA","CLIDEN","CTRA TERRASSA,    2","Districte Administratiu 5 - NORD","41.49653560553946","2.0314988840510115",,"818460009","Ajuntament de Rubí"
"2332","OFICINA PER LA PRESTACIÓ DE SERVEIS D'AJUDA DOMICILIÀRIA","SAURA SERVEIS","CTRA TERRASSA,    2","Districte Administratiu 5 - NORD","41.49653560553946","2.0314988840510115",,"818460009","Ajuntament de Rubí"
"396","BAR","BAR VELEZ","C MADRID,   67-69 PB 02","Districte Administratiu 5 - NORD","41.4979884677242","2.038984834818707",,"818460009","Ajuntament de Rubí"
"2987","APARCAMENT PRIVAT DE VEHICLES",,"C MADRID,   67-69","Districte Administratiu 5 - NORD","41.4979884677242","2.038984834818707",,"818460009","Ajuntament de Rubí"
"1726","APARCAMENT PRIVAT DE VEHICLES","MEGACLASP, SL","PTGE POESIA,    3","Districte Administratiu 3 - SUD","41.481701411160934","2.0325030949166614",,"818460009","Ajuntament de Rubí"
"802","TALLER DE REPARACIÓ DE MOTOCICLETES I COTXES","CYCLE MONSTER","CTRA SANT CUGAT,   17-19 LOC 07","Districte Administratiu 6 - EST","41.48653415852874","2.0386306847061855",,"818460009","Ajuntament de Rubí"
"1149","AGENCIA IMMOBILIARIA","FINQUES RIVO","CTRA SANT CUGAT,   17-19 LOC 06","Districte Administratiu 6 - EST","41.48653415852874","2.0386306847061855",,"818460009","Ajuntament de Rubí"
"3304","APARCAMENT PRIVAT DE VEHICLES",,"CTRA SANT CUGAT,   17-19","Districte Administratiu 6 - EST","41.48653415852874","2.0386306847061855",,"818460009","Ajuntament de Rubí"
"770","FABRICACIÓ I CONFECCIÓ DE PECES TÈXTILS","CONVA","AV GAUDI,   59-61","Districte Administratiu 1 - SUD-OEST","41.470721415118796","2.0149971404235925",,"818460009","Ajuntament de Rubí"
"106","GIMNÀS","ANY TIME FITNESS","C BASSES,   27 LOC 02","Districte Administratiu 5 - NORD","41.49505130409511","2.036224195417162",,"818460009","Ajuntament de Rubí"
"111","Aparcament privat","APARCAMENT","C BASSES,   27","Districte Administratiu 5 - NORD","41.49505130409511","2.036224195417162",,"818460009","Ajuntament de Rubí"
"2159","GESTIÓ I ADMINISTRACIÓ DE LA PROPIETAT IMMOBILIÀRIA","RB ADMINISTRADORS","C BASSES,   27 LOC 03","Districte Administratiu 5 - NORD","41.49505130409511","2.036224195417162",,"818460009","Ajuntament de Rubí"
