"ID","DATA_ACCIDENT",ANY_ACCIDENT,MES_ACCIDENT,"DIA_SETMANA_ACCIDENT","HORA_ACCIDENT","TIPUS_ACCIDENT",N_IMPLICATS,"ZONA","CODI_ENS","NOM_ENS","TRAM_HORARI",LATITUD,LONGITUD,"PUNT_ACCIDENT"
"1/2014","2014-01-01","2014","1","Dimecres","06:50:00","Envestida","3","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"2/2014","2014-01-02","2014","1","Dijous","10:50:00","Sortida de via amb caiguda, bolcada, xoc","1","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"3/2014","2014-01-02","2014","1","Dijous","11:01:00","Envestida","3","Can Rosés","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"4/2014","2014-01-03","2014","1","Divendres","08:25:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"5/2014","2014-01-03","2014","1","Divendres","10:20:00","Sortida de via amb caiguda, bolcada, xoc","2","El Mercat","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"6/2014","2014-01-03","2014","1","Divendres","12:31:00","Altres (incendi, explosió, esllavissada, etc.)","2","Sector Z","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"7/2014","2014-01-03","2014","1","Divendres","16:00:00","Xoc sense sortida de via","1","Zona Nord","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"8/2014","2014-01-04","2014","1","Dissabte","18:45:00","Envestida","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"16/2014","2014-01-05","2014","1","Diumenge","12:30:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"9/2014","2014-01-05","2014","1","Diumenge","13:20:00","Sortida de via amb caiguda, bolcada, xoc","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"10/2014","2014-01-05","2014","1","Diumenge","21:15:00","Xoc sense sortida de via","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"11/2014","2014-01-08","2014","1","Dimecres","16:00:00","Xoc sense sortida de via","1","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"12/2014","2014-01-09","2014","1","Dijous","16:50:00","Encalç","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"14/2014","2014-01-10","2014","1","Divendres","12:00:00","Encalç","2","Can Fatjó","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"15/2014","2014-01-10","2014","1","Divendres","13:35:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"13/2014","2014-01-10","2014","1","Divendres","13:45:00","Múltiple","3","Zona Desconeguda","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"17/2014","2014-01-11","2014","1","Dissabte","17:00:00","Encalç","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"18/2014","2014-01-16","2014","1","Dijous","06:00:00","Envestida","2","Can Fatjó","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"20/2014","2014-01-16","2014","1","Dijous","13:45:00","Xoc sense sortida de via","4","Zona Nord","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"19/2014","2014-01-16","2014","1","Dijous","16:30:00","Altres (incendi, explosió, esllavissada, etc.)","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"21/2014","2014-01-17","2014","1","Divendres","07:35:00","Encalç","2","Sector Z","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"22/2014","2014-01-17","2014","1","Divendres","11:30:00","Fregament negatiu (mateix sentit)","2","Sant Jordi Parc","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"23/2014","2014-01-19","2014","1","Diumenge","04:45:00","Sortida de via amb caiguda, bolcada, xoc","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"24/2014","2014-01-19","2014","1","Diumenge","05:05:00","Envestida","3","Zona Nord","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"25/2014","2014-01-21","2014","1","Dimarts","05:20:00","Atropellament","2","Zona Nord","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"26/2014","2014-01-21","2014","1","Dimarts","12:50:00","Atropellament","2","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"28/2014","2014-01-23","2014","1","Dijous","04:15:00","Xoc sense sortida de via","1","Can Rosés","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"27/2014","2014-01-23","2014","1","Dijous","06:50:00","Envestida","2","Zona Nord","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"29/2014","2014-01-23","2014","1","Dijous","20:30:00","Xoc sense sortida de via","3","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"31/2014","2014-01-26","2014","1","Diumenge","07:20:00","Fregament negatiu (mateix sentit)","4","Centre","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"40/2014","2014-01-27","2014","1","Dilluns","13:05:00","Xoc sense sortida de via","2","Can Vallhonrat","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"30/2014","2014-01-27","2014","1","Dilluns","13:40:00","Fregament negatiu (mateix sentit)","2","Can Fatjó","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"32/2014","2014-01-28","2014","1","Dimarts","22:40:00","Xoc sense sortida de via","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"33/2014","2014-01-29","2014","1","Dimecres","05:10:00","Col·lisió frontal","2","Sant Muç","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"34/2014","2014-01-29","2014","1","Dimecres","21:10:00","Envestida","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
