ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2020","1","2020-Q1","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","319744.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 01","Secció 1","Districte 01 / Secció 1","15508.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 01","Secció 2","Districte 01 / Secció 2","18405.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 01","Secció 3","Districte 01 / Secció 3","41248.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 02","Secció 1","Districte 02 / Secció 1","23857.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 02","Secció 3","Districte 02 / Secció 3","20500.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 03","Secció 1","Districte 03 / Secció 1","10865.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 03","Secció 3","Districte 03 / Secció 3","20142.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 03","Secció 4","Districte 03 / Secció 4","16103.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 03","Secció 5","Districte 03 / Secció 5","18953.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 03","Secció 6","Districte 03 / Secció 6","18698.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 03","Secció 7","Districte 03 / Secció 7","18704.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 03","Secció 8","Districte 03 / Secció 8","10022.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 04","Secció 1","Districte 04 / Secció 1","17137.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 04","Secció 2","Districte 04 / Secció 2","14970.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 04","Secció 3","Districte 04 / Secció 3","15066.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 04","Secció 4","Districte 04 / Secció 4","22981.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 04","Secció 5","Districte 04 / Secció 5","18761.00","818460009","Ajuntament de Rubí"
"2020","1","2020-Q1","Districte 04","Secció 6","Districte 04 / Secció 6","16149.00","818460009","Ajuntament de Rubí"
