ID_APLICACIO,"APLICACIO","DESC_APLICACIO",EXERCICI,"ORGANIC","ALIAS_PROGRAMA","ECONOMIC",ORG_COD_AREA_ORGANIC,"ORG_AREA_ORGANIC","ORG_COD_ORGANIC","ORG_ORGANIC","ECO_COD_CAPITOL","ECO_CAPITOL","ECO_COD_ARTICLE","ECO_ARTICLE","ECO_COD_CONCEPTE","ECO_CONCEPTE","ECO_COD_SUB_CONCEPTE","ECO_SUB_CONCEPTE",PREVISIONS_INICIALS,PREVISIONS_DEFINITIVES,MODIFICACIO_PREVISIONS,AUGMENT_PREVISIONS,DISMINUCIO_PREVISIONS,DRETS_RECONEGUTS_TOTALS,DRETS_RECONEGUTS_NETS,DRETS_ANULATS,RECAUDACIO_LIQUIDA,DEVOLUCIONS_INGRES,PERCENTATGE_EXECUCIO,"CODI_ENS","NOM_ENS"
"117732183","2026-1U005-39190","Multes infraccions activitats","2026","1U005","111","39190","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U005","ÀREA DE DESENVOLUPAMENT LOCAL","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","39","ALTRES INGRESSOS.","391","MULTES.","39190","ALTRES MULTES I SANCIONS.","75000.00","75000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"2653893978","2026-1U015-45050","Subvencions Generalitat per Ocupació","2026","1U015","111","45050","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45050","TRAN CTES EN CUMPL CONV LES SEVES AMB C.A EN MAT EM I DESARR","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"2267558992","2026-1U015-46101","Rubí Emprén en Verd","2026","1U015","111","46101","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46101","SUBVENCIONS DIVERSES DIPUTACIÓ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"1108018879","2026-1U015-46133","DIBA - Polítiques de teixit productiu OSE 20233OSE1","2026","1U015","111","46133","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46133","DIBA - SUBVENCIONS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"3698299676","2026-1U015-46134","Pla d'accions per impulsar creixement econòm CLSE 20243OSE5","2026","1U015","111","46134","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46134","DIBA-AJUTS PER ACCIONS LOCALS EN SISTEMES HÍDRICS","90000.00","90000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"2875761546","2026-1U015-46135","DIBA - Subvencions Recull d'activitats","2026","1U015","111","46135","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46135","DIBA - SUBVENCIONS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"845279792","2026-1U015-46136","Desenvolupament competències Directius MIPIMES 20243OSE2","2026","1U015","111","46136","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46136","DIBA - SUBVENCIONS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"1164362406","2026-1U015-46137","Impuls en Femení 2.0 Empoderar a les persones 20243OSE4","2026","1U015","111","46137","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46137","DIBA-AJUTS PER A FESTIV. I ESDEVENIMENTS ARTÍSTICS (RUBIFOLK","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"3587825463","2026-1U015-46138","Subv. Pla director per impulsar l'economia circular","2026","1U015","111","46138","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46138","DIBA -  ACOMPANYAMENT A L'ESCOLARITAT","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"2732519329","2026-1U015-46139","Elaborar un Mapa de teixit empresarial  20243OSE3","2026","1U015","111","46139","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46139","SUBVENCIÓ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"1127258789","2026-1U016-33500","Taxa per ocupació de la via pública amb terrasses","2026","1U016","111","33500","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","335","TAXA PER OCUPACIÓ DE LA VIA PÚBLICA AMB TERRASSES.","33500","OCUPACIÓ VIA PÚBLICA TAULES I CADIRES","115000.00","115000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"3070379258","2026-1U016-46001","Projecte Singular Rubibox","2026","1U016","111","46001","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","460","D'ENTITATS LOCALS","46001","DESCRIPCIÓN ECONÓMICA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"3251052123","2026-1U016-46100","SUPORT ALS MERCATS DE VENDA  NO SEDENTARIA","2026","1U016","111","46100","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46100","DIBA - AJUTS PER A PROCESSOS DE PLANIFICACIÓ ESTRATÈGICA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"3066048205","2026-1U016-46101","Suport al Comerç urbà - Locals Buits","2026","1U016","111","46101","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46101","SUBVENCIONS DIVERSES DIPUTACIÓ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"82062516","2026-1U016-46132","DIBA - Ajuts Dinamització teixit comercial","2026","1U016","111","46132","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46132","DIBA-AJUTS IMPLANTAR MESURES DINAMITZACIÓ COMERCIAL (COMERÇ)","14000.00","14000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"771677341","2026-1U053-32500","MERCAT.Expedició de documents","2026","1U053","111","32500","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U053","MERCAT","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","325","TAXA PER EXPEDICIÓ DE DOCUMENTS.","32500","EXPEDICIÓ DE DOCUMENTS","500.00","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"596238816","2026-1U053-32904","MERCAT.Serveis de mercat","2026","1U053","111","32904","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U053","MERCAT","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","329","ALTRES TAXES PER LA REALIZAC DE ACTIVID DE COMPET LOCAL","32904","SERVEIS DE MERCAT","448087.25","448087.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"89199398","2026-1U053-33903","MERCADAL.Taxes Comerç Ambulant","2026","1U053","111","33903","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U053","MERCAT","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","339","ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DEL DOMINI PÚBLIC.","33903","MERCADAL","39600.00","39600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
